Date,Spread,CRUDOIL,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-09-28,0.007993152526672986,40.45,367.5,4.298439476007916,0.11004627713598185,1.0,1.0,-0.11004627713598185,-0.03232577217984552,4.548680367596419
2020-09-29,-1.279739831815732,39.14,367.3,4.29764146505709,0.110045575365684,-1.0,-1.0,0.110045575365684,-0.024150347288772054,4.5245300203076475
2020-09-30,-0.20531119452098068,40.07,366.0,4.297541610684213,0.11004183386481142,1.0,1.0,-0.11004183386481142,-0.03743448964312457,4.487095530664523
2020-10-01,-1.7011367440505225,38.57,366.0,4.297861066846836,0.11003042826243313,1.0,1.0,-0.11003042826243313,-0.040892863238887564,4.446202667425635
2020-10-02,-2.485026815708146,36.9,358.0,4.299249391912069,0.11001404138465963,1.0,1.0,-0.11001404138465963,0.04835932716225383,4.494561994587889
2020-10-05,-4.035428847426367,39.07,392.0,4.305226202839195,0.1099628286924142,1.0,1.0,-0.1099628286924142,0.033241733930283845,4.527803728518173
2020-10-06,-4.0866596614197235,40.52,405.8,4.3111160191107984,0.10992276900300574,1.0,1.0,-0.10992276900300574,-0.012270155719605571,4.515533572798568
2020-10-07,-2.565882786253731,39.8,385.5,4.312948457963673,0.10989852862841434,1.0,1.0,-0.10989852862841434,0.02873259473535055,4.544266167533919
2020-10-08,-2.2497371693753934,41.04,394.0,4.314372204278725,0.10987242936389693,1.0,1.0,-0.10987242936389693,-0.01577053849317932,4.528495629040739
2020-10-09,-3.3695681558459185,40.45,399.0,4.318152146977564,0.10982347908733313,1.0,1.0,-0.10982347908733313,-0.02300679175223122,4.505488837288508
2020-10-12,-2.1679083527753704,39.28,377.5,4.319464148977912,0.10979578371596124,1.0,1.0,-0.10979578371596124,0.019602851323828885,4.525091688612337
2020-10-13,-1.3914574344208361,40.05,377.5,4.319737129224355,0.10977869519051876,1.0,1.0,-0.10977869519051876,0.01725148529222805,4.542343173904564
2020-10-14,-1.949103791195661,40.89,390.3,4.320458900402993,0.10975942554751643,1.0,1.0,-0.10975942554751643,-0.0013940323684970405,4.540949141536068
2020-10-15,-1.808866795746063,40.81,388.3,4.319354240865127,0.10975757608999759,1.0,1.0,-0.10975757608999759,-3.820362198188017e-05,4.540910937914086
2020-10-16,-1.1456941564484637,40.73,381.5,4.317081971522442,0.10976590866696845,1.0,1.0,-0.10976590866696845,-0.00022056968129658956,4.54069036823279
2020-10-19,-0.8113092238074842,40.68,378.0,4.316297967098768,0.10976536831695102,1.0,1.0,-0.10976536831695102,0.022112392109133572,4.562802760341923
2020-10-20,0.32555772028763386,41.55,375.5,4.314479877977489,0.10978546545862147,1.0,1.0,-0.10978546545862147,-0.04037260859956829,4.522430151742355
2020-10-21,-1.0180919374708992,39.83,372.0,4.310076870058723,0.1098066987566422,-1.0,-1.0,0.1098066987566422,-0.014651758868025224,4.50777839287433
2020-10-22,-1.073870312262116,40.49,378.5,4.308401152671943,0.10981207480122092,1.0,1.0,-0.10981207480122092,-0.019236478750859744,4.48854191412347
2020-10-23,-1.5077575291353327,39.67,375.0,4.307838540607986,0.10980735341102756,1.0,1.0,-0.10980735341102756,-0.03354314440698115,4.454998769716489
2020-10-26,-3.173362536329556,38.38,378.5,4.310406839525528,0.10978431317392222,1.0,1.0,-0.10978431317392222,0.024140406781994736,4.479139176498483
2020-10-27,-2.97398020031558,39.39,386.0,4.3132282073689465,0.10975124404226834,1.0,1.0,-0.10975124404226834,-0.04425513967471739,4.434884036823766
2020-10-28,-0.8713656268179975,37.21,347.0,4.3129119594595995,0.10974456952973487,1.0,1.0,-0.10974456952973487,-0.026461549826320305,4.408422486997446
