Date,Spread,LCPCASH,JETCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-07-30,-105.32400748962755,5925.0,652.75,700.4673566443179,9.238336281102455,-1.0,-1.0,9.238336281102455,-0.05631036312866807,1.5928780903317166
2019-07-31,-89.49220105749373,5902.25,648.5,697.9376429800161,9.239386586056273,1.0,1.0,-9.239386586056273,0.47979197385697536,2.072670064188692
2019-08-01,195.4873121824303,5875.0,614.5,695.3424893044569,9.242494203120536,1.0,1.0,-9.242494203120536,-0.08555146385402479,1.9871186003346675
2019-08-02,-12.299977550513177,5703.75,618.25,691.4540233218588,9.24553170651114,-1.0,-1.0,9.24553170651114,-0.15687137426787923,1.8302472260667884
2019-08-05,44.32474191225356,5660.25,607.25,688.4019753740736,9.248127226163437,1.0,1.0,-9.248127226163437,0.10589997133687666,1.936147197403665
2019-08-06,103.2332769462264,5656.25,600.25,685.3025296008436,9.25117321624952,-1.0,-1.0,9.25117321624952,-0.004198895027624383,1.9319483023760406
2019-08-07,125.204764872552,5680.0,600.25,682.4339697863371,9.254136168475549,-1.0,-1.0,9.254136168475549,-0.20571731617182082,1.7262309862042198
2019-08-08,331.9665235413031,5775.75,588.0,680.0169361732832,9.258135164045402,-1.0,-1.0,9.258135164045402,0.10598182277645304,1.8322128089806728
2019-08-09,227.59291914025926,5732.0,594.25,676.1528591028381,9.26278011082834,-1.0,-1.0,9.26278011082834,0.045700161963579546,1.8779129709442524
2019-08-12,183.03724092103312,5715.75,597.0,671.8610058940985,9.26752555959626,-1.0,-1.0,9.26752555959626,0.32987045700563494,2.207783427949887
2019-08-13,62.86755848458324,5804.5,619.25,667.1075896455151,9.271913510723321,-1.0,-1.0,9.271913510723321,-0.1721325923138711,2.035650835636016
2019-08-14,108.11964557475585,5739.0,607.0,662.3954980426884,9.276573895263994,-1.0,-1.0,9.276573895263994,-0.08964855781966452,1.9460022778163513
2019-08-15,149.32174304516593,5727.25,601.0,658.1807124923095,9.28107863054049,-1.0,-1.0,9.28107863054049,0.012935224852978579,1.9589375026693299
2019-08-16,131.37618757893233,5719.5,601.75,652.855551658948,9.286454195963552,-1.0,-1.0,9.286454195963552,0.1073391384026812,2.0662766410720113
2019-08-19,86.99455038625729,5745.5,609.0,647.6603785441416,9.2914703606137,-1.0,-1.0,9.2914703606137,0.08339200823698939,2.1496686493090005
2019-08-20,-23.007021431705653,5682.75,613.75,641.5876140999677,9.29654911842233,-1.0,-1.0,9.29654911842233,0.033644509805393484,2.183313159114394
2019-08-21,-25.864693481184986,5706.75,616.25,634.4743678004806,9.302417352504966,1.0,1.0,-9.302417352504966,0.07869296556184008,2.262006124676234
