Date,Spread,LCPCASH,GOEUARA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-06-24,2055.3059094352716,5856.5,336.25,1055.8181562401307,11.3046664403412,-1.0,-1.0,11.3046664403412,0.08784425897148507,2.5027564199958183
2020-06-25,2045.273416875944,5883.5,339.0,1057.918920406286,11.32220231010046,-1.0,-1.0,11.32220231010046,-0.295745216662641,2.2070112033331775
2020-06-26,2204.7883190363523,5953.25,330.5,1060.523543437639,11.341790260101808,-1.0,-1.0,11.341790260101808,0.3091475496417711,2.5161587529749485
2020-06-29,2094.166578334202,5951.5,339.5,1062.3821434012698,11.361806838485414,-1.0,-1.0,11.361806838485414,0.141693005350741,2.6578517583256893
2020-06-30,2089.300598916565,6004.5,344.0,1064.313260121505,11.381393607800684,-1.0,-1.0,11.381393607800684,0.0750110599197383,2.7328628182454278
2020-07-01,2100.602637760481,6050.75,346.5,1066.5139288272524,11.40013668755994,-1.0,-1.0,11.40013668755994,0.2598599264902287,2.9927227447356564
2020-07-02,2023.767151161118,6071.0,354.5,1068.7004166279894,11.416735821830414,-1.0,-1.0,11.416735821830414,0.015875376355619662,3.0085981210912762
2020-07-03,1967.596216258864,6023.5,354.75,1070.5865132505148,11.433132582779805,-1.0,-1.0,11.433132582779805,0.15870553281913102,3.167303653910407
2020-07-06,2010.4480737594104,6135.25,360.25,1072.6560921183218,11.449831856323636,-1.0,-1.0,11.449831856323636,-0.1352001986839681,3.032103455226439
2020-07-07,2099.8089497194146,6184.75,356.25,1075.1891593283472,11.466501193770064,-1.0,-1.0,11.466501193770064,0.0006898624597331572,3.0327933176861723
2020-07-08,2135.861654073268,6230.25,356.5,1077.5939338297853,11.484960297129684,-1.0,-1.0,11.484960297129684,-0.1803849113228695,2.8524084063633026
2020-07-09,2259.073558884871,6300.35,351.25,1080.2755027409944,11.505413355487912,-1.0,-1.0,11.505413355487912,0.11226163835364769,2.9646700447169505
2020-07-10,2324.1258719027633,6418.55,355.25,1083.4579863911945,11.525472563257528,-1.0,-1.0,11.525472563257528,-0.28469983637148905,2.6799702083454613
2020-07-13,2570.2692704122,6580.0,347.25,1087.9340803931163,11.547100733154211,-1.0,-1.0,11.547100733154211,0.10428766743756424,2.7842578757830254
2020-07-14,2446.4479375406304,6495.5,350.0,1091.4760752980073,11.568720178455342,-1.0,-1.0,11.568720178455342,0.18324141310831987,2.967499288891345
2020-07-15,2264.485204229615,6378.75,355.0,1094.0299275417851,11.589478297944746,-1.0,-1.0,11.589478297944746,-0.08270390101786408,2.884795387873481
2020-07-16,2341.1157099726015,6437.75,352.75,1096.2839782656733,11.613421091502193,-1.0,-1.0,11.613421091502193,-0.07691052515242806,2.807884862721053
2020-07-17,2376.999509292525,6456.0,350.5,1098.6370080822503,11.637661885042725,-1.0,-1.0,11.637661885042725,0.15178966954922035,2.9596745322702733
2020-07-20,2352.500346728616,6494.25,355.25,1101.5167004203656,11.658690086618956,-1.0,-1.0,11.658690086618956,0.3860893138984187,3.3457638461686923
2020-07-21,2254.2374263057936,6544.45,367.25,1103.2392954190357,11.681994754783407,-1.0,-1.0,11.681994754783407,0.006333610922231836,3.352097457090924
2020-07-22,2204.5847643173793,6503.0,367.25,1104.825897211688,11.70433011758372,-1.0,-1.0,11.70433011758372,-0.24136187067295495,3.110735586417969
2020-07-23,2348.5045574889373,6570.0,360.0,1107.2769804017705,11.726376229197397,-1.0,-1.0,11.726376229197397,0.07827414624353106,3.1890097326615
2020-07-24,2180.6440415244424,6430.25,361.75,1108.9326534864783,11.747355793989101,-1.0,-1.0,11.747355793989101,-0.023772083200163753,3.165237649461336
2020-07-27,2178.79348198725,6426.5,361.0,1110.9492276229123,11.766500049896814,-1.0,-1.0,11.766500049896814,-0.21359460516634038,2.951643044294996
2020-07-28,2308.2838641931676,6490.0,354.75,1113.2087110844586,11.787783328560486,-1.0,-1.0,11.787783328560486,0.24213873789332346,3.1937817821883194
2020-07-29,2206.9497882271553,6482.0,362.0,1114.7903479298243,11.80953097174819,-1.0,-1.0,11.80953097174819,-0.4178896753037021,2.7758921068846174
2020-07-30,2311.7936228713043,6441.75,349.0,1116.3674713869698,11.833685894351564,-1.0,-1.0,11.833685894351564,0.045450198850521144,2.8213423057351386
2020-07-31,2269.1329914415555,6422.0,350.25,1117.8462287520294,11.856865120794987,-1.0,-1.0,11.856865120794987,-0.011367175334786594,2.809975130400352
2020-08-03,2334.0859031511372,6495.0,350.25,1119.727745850807,11.879840390717666,-1.0,-1.0,11.879840390717666,0.2608528165718351,3.0708279469721873
2020-08-04,2194.7455509504034,6453.0,357.75,1120.8053281659293,11.902877565477558,-1.0,-1.0,11.902877565477558,0.20917499595588807,3.2800029429280753
2020-08-05,2154.5460597231277,6498.75,364.25,1121.5934110642384,11.926434976738152,-1.0,-1.0,11.926434976738152,-0.168974188231554,3.1110287546965214
2020-08-06,2189.2975635050625,6479.75,359.0,1122.174217914836,11.95112099302211,-1.0,-1.0,11.95112099302211,-0.1732345315031516,2.93779422319337
2020-08-07,2080.7587837630062,6308.0,353.0,1122.2504210599006,11.975187581407914,-1.0,-1.0,11.975187581407914,0.07121626126938117,3.0090104844627508
2020-08-10,2127.9372598591854,6393.75,355.5,1122.4872938067926,11.99947324934125,-1.0,-1.0,11.99947324934125,0.13689200302000384,3.1459024874827546
2020-08-11,2059.495600138732,6381.75,359.5,1122.5356071735923,12.022960778473625,-1.0,-1.0,12.022960778473625,0.15059116483906834,3.296493652321823
2020-08-12,2046.4717072854892,6434.5,364.25,1122.4706757800593,12.04674891616887,-1.0,-1.0,12.04674891616887,-0.03957000701901282,3.2569236453028103
2020-08-13,1891.0236217018346,6263.5,362.25,1121.708942891748,12.070328166454564,-1.0,-1.0,12.070328166454564,-0.018240600303344845,3.2386830449994655
2020-08-14,1996.1287075104328,6377.75,362.25,1121.0224355512196,12.09557292612717,-1.0,-1.0,12.09557292612717,0.08037680196636475,3.31905984696583
2020-08-17,2026.361673814975,6450.75,365.0,1120.3352036564668,12.121611852561713,-1.0,-1.0,12.121611852561713,0.037925866494804096,3.356985713460634
2020-08-18,2125.736056857576,6581.0,366.75,1120.0432102822165,12.147958945173617,-1.0,-1.0,12.147958945173617,-0.10898140761132959,3.2480043058493044
2020-08-19,2266.999018988942,6698.75,364.0,1120.2236601128277,12.175140057722686,-1.0,-1.0,12.175140057722686,-0.19695936040036904,3.0510449454489352
2020-08-20,2252.6592980109435,6617.75,357.75,1120.434334515587,12.201511396195825,-1.0,-1.0,12.201511396195825,-0.3761665839385855,2.6748783615103497
