Date,Spread,GOLDBLN,GOLDHAR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-05-18,2.8050797297746612,1291.89,1288.3,3.1854235052047586,1.0006092682373868,1.0,1.0,-1.0006092682373868,-0.0025158255572866636,0.022815874064482506
2018-05-21,-0.4494853093447091,1288.69,1288.35,3.184228215302471,1.000612787914266,-1.0,-1.0,1.000612787914266,0.0006162236142482364,0.023432097678730744
2018-05-22,-1.2275274282374085,1292.6,1293.05,3.1804392248192865,1.0006013127320965,1.0,1.0,-1.0006013127320965,0.0041706831276359865,0.02760278080636673
2018-05-23,4.148440185741492,1293.94,1289.0,3.191378715330285,1.0006140882965544,1.0,1.0,-1.0006140882965544,-0.0038722928337168883,0.023730487972649844
2018-05-24,-0.7941385699250532,1304.85,1304.85,3.1909261579615076,1.0006086052572518,-1.0,-1.0,1.0006086052572518,-0.00019988628355540098,0.023530601689094443
2018-05-25,-0.5244794198738418,1303.76,1303.5,3.1889424899220025,1.0006018254084188,1.0,1.0,-1.0006018254084188,-0.0035742774743818817,0.01995632421471256
2018-05-28,-5.1542083854619705,1299.1,1303.5,3.201018314595899,1.0005786025204924,1.0,1.0,-1.0005786025204924,0.00838088597955915,0.02833721019427171
2018-05-29,5.733817006461777,1302.01,1295.5,3.2214222412524616,1.0005991377796513,1.0,1.0,-1.0005991377796513,-0.004154546911128305,0.024182663283143405
2018-05-30,0.3431598383540404,1301.83,1300.7,3.2202552087392413,1.000604935928074,-1.0,-1.0,1.000604935928074,0.0018488244576344635,0.02603148774077787
2018-05-31,-2.047648247128791,1304.08,1305.35,3.2219743095884366,1.0005957392631315,-1.0,-1.0,1.0005957392631315,-0.00376966066924791,0.02226182707152996
2018-06-01,2.8684983662494687,1298.25,1294.6,3.227126145824449,1.0006036626245562,1.0,1.0,-1.0006036626245562,-0.004338849260951024,0.017922977810578937
