Date,Spread,WHEATSF,NAFCNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-08-19,0.5647301386605825,5.34,380.8,1.3234398837843087,0.012540099425786284,-1.0,-1.0,0.012540099425786284,-0.015080066208337843,0.7199481523762595
2020-08-20,0.6773158530812049,5.42,377.8,1.3231090975853765,0.012553425481521427,-1.0,-1.0,0.012553425481521427,-0.014760147601476037,0.7051880047747835
2020-08-21,0.7518606484447563,5.5,377.8,1.3226092366462652,0.012567864879712133,-1.0,-1.0,0.012567864879712133,0.016653049874630257,0.7218410546494137
2020-08-24,0.5473898495167262,5.41,386.5,1.3224740439939477,0.01258113881108221,-1.0,-1.0,0.01258113881108221,-0.0108692230933649,0.7109718315560488
2020-08-25,0.5156217524289524,5.47,393.3,1.3219026218286645,0.012596944438268618,-1.0,-1.0,0.012596944438268618,-0.00931052069895141,0.7016613108570974
2020-08-26,0.6252893072535182,5.52,388.0,1.3209114032321776,0.012615233744191963,-1.0,-1.0,0.012615233744191963,-0.01969994180866408,0.6819613690484333
2020-08-27,0.6394636931948945,5.63,395.0,1.3198352716277009,0.012634269131152166,-1.0,-1.0,0.012634269131152166,0.006784940822409814,0.6887463098708431
2020-08-28,0.7181101334831812,5.59,385.0,1.3184789983547887,0.012654259393550178,-1.0,-1.0,0.012654259393550178,-0.008944543828264706,0.6798017660425784
2020-08-31,0.7622347817948381,5.64,385.0,1.317990593484212,0.012669520047286133,-1.0,-1.0,0.012669520047286133,-0.04051687908974239,0.6392848869528359
2020-09-01,0.8844144707672728,5.87,393.0,1.3173197810538642,0.012685968267767755,-1.0,-1.0,0.012685968267767755,0.03542004977608589,0.6747049367289218
2020-09-02,0.8043616809215219,5.66,382.0,1.3150163259389656,0.012711095076121672,-1.0,-1.0,0.012711095076121672,-0.00023958084960229298,0.6744653558793196
2020-09-03,0.8867034769303839,5.66,374.8,1.3127674763955435,0.012735583039139851,-1.0,-1.0,0.012735583039139851,0.0055110273559371,0.6799763832352567
2020-09-04,0.7689487177140428,5.63,381.0,1.310871560130258,0.012758664782902775,-1.0,-1.0,0.012758664782902775,-0.0003851040551269869,0.6795912791801296
2020-09-07,0.9066281954556175,5.63,369.5,1.3086443399869288,0.01278314426128385,-1.0,-1.0,0.01278314426128385,0.01036312939398979,0.6899544085741194
2020-09-08,0.9448177242115205,5.57,361.0,1.305395181156056,0.012812139268112133,-1.0,-1.0,0.012812139268112133,0.00015970810722023423,0.6901141166813396
2020-09-09,0.8770972374007746,5.57,365.5,1.3023597326960479,0.012839679241037554,-1.0,-1.0,0.012839679241037554,-0.007339409411949633,0.6827747072693899
2020-09-10,0.9648096947170561,5.61,361.0,1.2992567045180134,0.012867563172528932,-1.0,-1.0,0.012867563172528932,0.010552610288517505,0.6933273175579074
2020-09-11,0.9476473069255666,5.55,357.0,1.2968635013219385,0.012891744238303735,-1.0,-1.0,0.012891744238303735,-0.007134984550409914,0.6861923330074975
2020-09-14,0.9527124159902911,5.59,359.0,1.294096548562298,0.012917235610054898,-1.0,-1.0,0.012917235610054898,0.014239307809847246,0.7004316408173448
2020-09-15,0.88917750161339,5.51,357.0,1.2910509032166435,0.012943480387637561,-1.0,-1.0,0.012943480387637561,-0.006715684416905259,0.6937159564004395
2020-09-16,0.7261739213241754,5.55,372.0,1.288713072358831,0.012967274405042539,-1.0,-1.0,0.012967274405042539,-0.021238180711795097,0.6724777756886444
2020-09-17,0.6950676805483349,5.67,383.0,1.2868432479221437,0.012989379424155782,-1.0,-1.0,0.012989379424155782,-0.031440798286978364,0.6410369774016661
2020-09-18,0.7495640138761877,5.85,392.0,1.2848932595567508,0.013011316291132174,-1.0,-1.0,0.013011316291132174,0.03365696005370214,0.6746939374553682
2020-09-21,0.7507333943801386,5.65,376.0,1.2835667091391403,0.013029964376648568,-1.0,-1.0,0.013029964376648568,-0.005621621958459948,0.6690723154969083
2020-09-22,0.8895147225112643,5.68,367.0,1.2812991661976114,0.013053093399151868,-1.0,-1.0,0.013053093399151868,0.015571204430236855,0.6846435199271451
2020-09-23,0.8908297621516423,5.59,359.3,1.2783839899138638,0.01307868143013737,-1.0,-1.0,0.01307868143013737,0.0017597884062204284,0.6864033083333655
2020-09-24,0.883158073383794,5.58,358.5,1.27629525175711,0.013101372180240463,-1.0,-1.0,0.013101372180240463,0.01109986539857668,0.6975031737319421
2020-09-25,0.6901205789590392,5.52,368.0,1.2740847334015446,0.01312467233978522,-1.0,-1.0,0.01312467233978522,-0.010887397652635626,0.6866157760793066
2020-09-28,0.7475676692196007,5.58,367.5,1.2714069217658661,0.013149475730014692,-1.0,-1.0,0.013149475730014692,0.0017849585180724284,0.688400734597379
2020-09-29,0.7301350861549709,5.57,367.3,1.268382802516945,0.01317687153238505,-1.0,-1.0,0.01317687153238505,-0.05211126940039719,0.6362894651969818
2020-09-30,1.0277284811981904,5.86,366.0,1.2658599340113414,0.01320292764699948,-1.0,-1.0,0.01320292764699948,-0.015358361774743923,0.6209311034222379
2020-10-01,1.1078693505262152,5.95,366.0,1.2631595707268142,0.013229865162496681,-1.0,-1.0,0.013229865162496681,-0.005331194187323692,0.6155999092349143
