Date,Spread,CRUDOIL,OILWTIN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-10-09,0.022556903608361267,74.96,74.95,0.48208262200823665,0.9998324629271732,-1.0,-1.0,0.9998324629271732,0.00026761503129313705,-0.2382984082828413
2018-10-10,0.0022445523688077174,73.17,73.18,0.4820838691178879,0.999832678978289,-1.0,-1.0,0.999832678978289,-0.00012748771342797546,-0.23842589599626926
2018-10-11,0.011643424559480309,70.97,70.97,0.4820820453780086,0.9998359387831551,-1.0,-1.0,0.9998359387831551,0.0009853151058838838,-0.2374405808903854
2018-10-12,-0.05815212417454063,71.34,71.41,0.48208535062734714,0.99983408660096,-1.0,-1.0,0.99983408660096,-0.00014708133473492584,-0.23758766222512032
2018-10-15,-0.04702457862461529,71.78,71.84,0.48182483444029994,0.9998193844463337,1.0,1.0,-0.9998193844463337,0.0006978463201638798,-0.23688981590495645
2018-10-16,0.0029408760806717282,71.92,71.93,0.4818269727202421,0.9998200906981694,1.0,1.0,-0.9998200906981694,0.0017973652782965685,-0.23509245062665987
2018-10-17,0.13210952462843295,69.75,69.63,0.4819058881344013,0.9998260875394452,-1.0,-1.0,0.9998260875394452,0.0014114812486323621,-0.23368096937802751
2018-10-18,0.03189848490002589,68.65,68.63,0.4819092069140348,0.9998266285166835,-1.0,-1.0,0.9998266285166835,0.0008749095082661211,-0.23280605986976138
2018-10-19,-0.027923475999386937,69.12,69.16,0.4819094437882294,0.9998253828224319,-1.0,-1.0,0.9998253828224319,-0.0021711192081383815,-0.23497717907789978
2018-10-22,0.121556109666912,69.36,69.25,0.48199092356479817,0.999833124770153,1.0,1.0,-0.999833124770153,-0.005277929522940969,-0.24025510860084076
2018-10-23,-0.24783612454001513,66.23,66.49,0.4822014081551114,0.9998170570693341,-1.0,-1.0,0.9998170570693341,-0.006345862619677711,-0.24660097122051847
2018-10-24,0.17155314424405788,66.72,66.56,0.4823481350943912,0.9998264251165255,1.0,1.0,-0.9998264251165255,-0.0012221013080921782,-0.24782307252861063
2018-10-25,0.09136543983490242,67.33,67.25,0.4823943010432373,0.9998309971771762,-1.0,-1.0,0.9998309971771762,0.0010446565836867054,-0.24677841594492392
