Date,Spread,CRUDOIL,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-11-20,1.775143815089045,41.97,1.202,4.537134143241632,33.43998018711394,-1.0,-1.0,33.43998018711394,0.6181843554845509,18.783575369752384
2020-11-23,1.9237844041802035,42.88,1.225,4.53028523899296,33.43364538434269,-1.0,-1.0,33.43364538434269,1.4850183518983058,20.26859372165069
2020-11-24,1.9188948584882297,44.74,1.281,4.523794611168502,33.42787286612941,-1.0,-1.0,33.42787286612941,0.7656436156395848,21.034237337290275
2020-11-25,1.6914945390097174,45.51,1.311,4.518865855235396,33.42372651486673,-1.0,-1.0,33.42372651486673,0.0,21.034237337290275
2020-11-26,1.6978510011847519,45.51,1.311,4.513462926916808,33.41887795485526,-1.0,-1.0,33.41887795485526,0.0,21.034237337290275
2020-11-27,1.70604206071215,45.51,1.311,4.506977250636147,33.41263000708455,-1.0,-1.0,33.41263000708455,-1.0157193248094902,20.018518012480783
2020-11-30,2.877865367951152,45.34,1.271,4.500859327023885,33.40844581593144,-1.0,-1.0,33.40844581593144,-0.4294239114764936,19.58909410100429
2020-12-01,2.662706833212269,44.55,1.254,4.494063463810116,33.402945109081124,-1.0,-1.0,33.402945109081124,0.5696304978083243,20.15872459881261
2020-12-02,2.664458168614445,45.28,1.276,4.4875228175531765,33.397760055944794,-1.0,-1.0,33.397760055944794,0.3061349877321681,20.46485958654478
2020-12-03,2.631230604740864,45.64,1.288,4.4805086206126346,33.39190170439374,-1.0,-1.0,33.39190170439374,-0.039509964456316354,20.425349622088465
2020-12-04,3.288059478382941,46.26,1.287,4.475780050564848,33.38923117452763,-1.0,-1.0,33.38923117452763,-0.11890881898683625,20.30644080310163
2020-12-07,2.958248830399633,45.76,1.282,4.471445076091057,33.386701380343496,-1.0,-1.0,33.386701380343496,0.31600852889753506,20.622449331999164
2020-12-08,2.3998039083532134,45.6,1.294,4.467973936407369,33.385004707609575,-1.0,-1.0,33.385004707609575,0.46615166937833885,21.0886010013775
2020-12-09,1.7233721188761635,45.52,1.312,4.463992829693337,33.381576128905365,-1.0,-1.0,33.381576128905365,0.7865046430342993,21.8751056444118
2020-12-10,1.9192824996843996,46.78,1.344,4.459960266942807,33.37851004487768,-1.0,-1.0,33.37851004487768,-0.14452210765240145,21.730583536759397
2020-12-11,1.913772049831742,46.57,1.338,4.455920136177262,33.37535721238285,-1.0,-1.0,33.37535721238285,0.31525608956715234,22.04583962632655
2020-12-14,1.903126589787071,46.99,1.351,4.452329407534269,33.37296329401401,-1.0,-1.0,33.37296329401401,0.08540255396707236,22.131242180293622
2020-12-15,2.4017543938436106,47.62,1.355,4.448828832935133,33.37139897133313,-1.0,-1.0,33.37139897133313,0.7346502457252501,22.86589242601887
