Date,Spread,CRUDOIL,OILWTXI,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-10-01,-0.12697969829773115,75.3,75.3,0.539219695156394,1.001686317374472,1.0,1.0,-1.001686317374472,1.567625713320411e-06,0.0801102807729468
2018-10-02,-0.1265002612961581,75.23,75.23,0.5394022806494558,1.0016815135091872,1.0,1.0,-1.0016815135091872,-2.6374929427634697e-05,0.08008390584351915
2018-10-03,-0.12810309637085027,76.41,76.41,0.5395867548646113,1.0016765226589563,1.0,1.0,-1.0016765226589563,4.563757532560081e-05,0.08012954341884476
2018-10-04,-0.12428390814301338,74.33,74.33,0.539763852058085,1.001672055807117,1.0,1.0,-1.001672055807117,-2.2495033056874492e-07,0.08012931846851419
2018-10-05,-0.12397208803137971,74.34,74.34,0.539939537375719,1.0016676363738415,1.0,1.0,-1.0016676363738415,1.121627908152751e-06,0.08013044009642234
2018-10-08,-0.12355402002170024,74.29,74.29,0.5401133248754277,1.0016631312427204,1.0,1.0,-1.0016631312427204,-1.4999299133431482e-05,0.08011544079728891
2018-10-09,-0.12566852564060582,74.96,74.96,0.5396527503105198,1.0016764744615876,1.0,1.0,-1.0016764744615876,4.003320819425879e-05,0.08015547400548317
2018-10-10,-0.12236400760203026,73.17,73.17,0.5398255521536284,1.0016723248271426,1.0,1.0,-1.0016723248271426,5.028173595344673e-05,0.08020575574143662
2018-10-11,-0.11915931013406578,70.97,70.97,0.5397572666274908,1.0016790095834023,1.0,1.0,-1.0016790095834023,-8.753466899518413e-06,0.0801970022745371
2018-10-12,-0.1204145783948718,71.34,71.34,0.5395884437372992,1.0016878970899197,1.0,1.0,-1.0016878970899197,-1.0410354913998991e-05,0.0801865919196231
2018-10-15,-0.12089054167731206,71.78,71.78,0.539759539470893,1.0016841814109405,1.0,1.0,-1.0016841814109405,-3.2848341812719006e-06,0.08018330708544183
2018-10-16,-0.12087299286876885,71.92,71.92,0.5399300590703666,1.0016806589664735,1.0,1.0,-1.0016806589664735,5.070953778152712e-05,0.08023401662322335
2018-10-17,-0.117017323243914,69.75,69.75,0.5400935222246988,1.0016776677167587,1.0,1.0,-1.0016776677167587,2.6457842128093517e-05,0.08026047446535145
2018-10-18,-0.11498599828536271,68.65,68.65,0.5402529286127993,1.001674959916757,1.0,1.0,-1.001674959916757,-1.1467314797898934e-05,0.08024900715055355
2018-10-19,-0.11557887796303135,69.12,69.12,0.5404123172388503,1.001672148118678,1.0,1.0,-1.001672148118678,-5.806069856520869e-06,0.08024320108069703
2018-10-22,-0.11578506621654583,69.36,69.36,0.5405711837836663,1.0016693348647137,1.0,1.0,-1.0016693348647137,-0.0028129880168164187,0.07743021306388062
2018-10-23,-0.30995254789080207,66.23,66.43,0.541168981880469,1.001655164050742,1.0,1.0,-1.001655164050742,0.0015179012193693537,0.07894811428324998
2018-10-24,-0.21007100797960732,66.72,66.82,0.5415034042385851,1.001647276384011,1.0,1.0,-1.001647276384011,0.0014976677286632836,0.08044578201191327
2018-10-25,-0.11078336280132817,67.33,67.33,0.5416510216132698,1.0016453789217485,1.0,1.0,-1.0016453789217485,-6.353757903677926e-06,0.0804394282540096
2018-10-26,-0.11107514867609325,67.59,67.59,0.5417988836246713,1.001643366602694,1.0,1.0,-1.001643366602694,1.3372564454531069e-05,0.08045280081846413
2018-10-29,-0.11004825638541149,67.04,67.04,0.541944443688955,1.0016415312706655,1.0,1.0,-1.0016415312706655,2.105782954612591e-05,0.08047385864801027
2018-10-30,-0.10852182504795849,66.18,66.18,0.5420846088936876,1.0016397979003921,1.0,1.0,-1.0016397979003921,2.155672670506488e-05,0.08049541537471533
2018-10-31,-0.10699358058717223,65.31,65.31,0.5422190857277045,1.0016382419321264,1.0,1.0,-1.0016382419321264,4.063622615288129e-05,0.08053605160086821
2018-11-01,-0.10424921732160897,63.69,63.69,0.5423485106645821,1.0016368223790486,1.0,1.0,-1.0016368223790486,1.4134908281939959e-05,0.08055018650915015
2018-11-02,-0.1032621770360791,63.14,63.14,0.5424757764308173,1.0016354478466278,1.0,1.0,-1.0016354478466278,1.0360771914018655e-06,0.08055122258634155
2018-11-05,-0.10310868126660466,63.1,63.1,0.5426021183582262,1.0016340520010556,1.0,1.0,-1.0016340520010556,2.3047643121070285e-05,0.08057427022946262
2018-11-06,-0.10159244924125233,62.21,62.21,0.5427260505796664,1.0016330565703464,1.0,1.0,-1.0016330565703464,1.4175382542790799e-05,0.08058844561200541
