Date,Spread,EIAEBRT,OILBREN,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-07-23,-0.23575772378326576,73.45,73.99,0.9735762762773867,0.9958880622216959,1.0,1.0,-0.9958880622216959,0.0016275669373765123,0.1351049475345387
2018-07-24,-0.11460690396363304,73.53,73.95,0.9725280939067201,0.9958702759156677,1.0,1.0,-0.9958702759156677,0.0010959764306649657,0.13620092396520367
2018-07-25,-0.03421428057149001,73.67,74.01,0.9720641673471231,0.9958683188835493,1.0,1.0,-0.9958683188835493,0.003328682020380551,0.13952960598558423
2018-07-26,0.20670043427695362,74.51,74.61,0.9715878475398654,0.9958892851591349,1.0,1.0,-0.9958892851591349,0.0013589111109064225,0.14088851709649064
2018-07-27,0.30637758100627366,74.84,74.84,0.9704765497404481,0.9959062322153089,-1.0,-1.0,0.9959062322153089,0.0006571518765777513,0.1415456689730684
2018-07-30,0.25649321502676514,74.99,75.04,0.9690727768986936,0.9959156021451655,-1.0,-1.0,0.9959156021451655,0.0033705005047539507,0.14491616947782235
2018-07-31,0.0036328849458868717,74.16,74.46,0.9688300163910258,0.9959222013840199,-1.0,-1.0,0.9959222013840199,0.0008738591117481188,0.14579002858957046
2018-08-01,-0.05470219916733754,72.28,72.63,0.9690191313952203,0.9959342172541285,-1.0,-1.0,0.9959342172541285,-0.0007677972314094131,0.14502223135816106
2018-08-02,-0.0036169833273760332,72.95,73.25,0.9692523262388469,0.9959538154720462,1.0,1.0,-0.9959538154720462,-0.008346298496546774,0.13667593286161428
2018-08-03,-0.6111193925321317,72.48,73.39,0.9710095703729779,0.9959275022827652,1.0,1.0,-0.9959275022827652,-0.008949629662705665,0.12772630319890863
2018-08-06,-1.2626963198077732,72.51,74.08,0.9759596027935289,0.9958517321788307,1.0,1.0,-0.9958517321788307,-0.0062534002098755545,0.12147290298903307
2018-08-07,-1.7136122538403669,72.31,74.34,0.9840384591032474,0.99574404430778,1.0,1.0,-0.99574404430778,0.003992240664623427,0.1254651436536565
2018-08-08,-1.3649337171692935,70.71,72.39,0.9883350120620067,0.9956476546093285,1.0,1.0,-0.9956476546093285,-0.00047475131112653625,0.12499039234252995
2018-08-09,-1.387876589987684,70.55,72.26,0.9919736483643452,0.9955421614999679,1.0,1.0,-0.9955421614999679,-0.0017501067982427822,0.12324028554428718
2018-08-10,-1.5178259866734436,71.0,72.85,0.9974671746390265,0.9954403018074599,1.0,1.0,-0.9954403018074599,-0.0015261238702074732,0.1217141616740797
2018-08-13,-1.6124272811372293,70.62,72.57,1.0044443533109717,0.9953483158486598,1.0,1.0,-0.9953483158486598,0.0008896312212326658,0.12260379289531236
2018-08-14,-1.545619912238564,70.77,72.66,1.0107803020491366,0.9952603896537099,1.0,1.0,-0.9952603896537099,-0.0032259458332963183,0.11937784706201604
2018-08-15,-1.709502694581161,68.38,70.43,1.0182283036123678,0.9951654507252755,1.0,1.0,-0.9951654507252755,0.0002689766877451861,0.11964682374976122
2018-08-16,-1.7077335077400448,69.21,71.27,1.0248623340704874,0.9950572963061604,1.0,1.0,-0.9950572963061604,0.004362196272750677,0.1240090200225119
2018-08-17,-1.4170364153212205,70.14,71.92,1.0282365825684587,0.9949532315812183,1.0,1.0,-0.9949532315812183,0.010509284006445553,0.13451830402895745
2018-08-20,-0.6806916041495299,71.11,72.16,1.026418958057975,0.9948820898579481,1.0,1.0,-0.9948820898579481,0.0022168728802982327,0.13673517690925568
2018-08-21,-0.524324844447932,71.65,72.55,1.024169043466203,0.9948218448580006,1.0,1.0,-0.9948218448580006,-0.005713070144301252,0.13102210676495443
2018-08-22,-0.949701774720694,72.96,74.3,1.024880443776954,0.9947469956220819,1.0,1.0,-0.9947469956220819,0.004796780450828276,0.1358188872157827
2018-08-23,-0.6036019021546082,73.73,74.73,1.0242625856671201,0.994695596174958,1.0,1.0,-0.994695596174958,-0.01047673815397699,0.1253421490618057
2018-08-24,-1.3871707901394075,74.41,76.21,1.0264060574032738,0.9945830047256189,1.0,1.0,-0.9945830047256189,0.0,0.1253421490618057
2018-08-27,-1.3790601291619993,74.41,76.21,1.0289684964710277,0.994476579571736,1.0,1.0,-0.994476579571736,0.014938916332186525,0.14028106539399224
2018-08-28,-0.27320658379910867,75.91,76.61,1.0256591909855355,0.9944290116668726,1.0,1.0,-0.9944290116668726,0.0021077591885125813,0.14238882458250482
2018-08-29,-0.10967888284261562,76.07,76.61,1.0209120825747158,0.9943829641410079,1.0,1.0,-0.9943829641410079,0.0013308433921944574,0.1437196679746993
2018-08-30,-0.011362999699727538,77.05,77.5,1.015589060029263,0.994340167738061,1.0,1.0,-0.994340167738061,-0.0034804757008016505,0.14023919227389764
