Date,Spread,EIAEBRT,FUELOIL,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-02-08,2.568536815398275,60.17,1.6266,5.239003222429315,35.412186883438906,-1.0,-1.0,35.412186883438906,0.07978662558203393,5.585214389659671
2021-02-09,2.9718348393978076,60.74,1.6307,5.23931790940062,35.42537877022272,-1.0,-1.0,35.42537877022272,0.22754018956849237,5.812754579228164
2021-02-10,2.99760984005691,61.17,1.6415,5.239719747431933,35.438556296036,-1.0,-1.0,35.438556296036,-0.21674237867869672,5.596012200549468
2021-02-11,3.268607005561215,61.09,1.6314,5.236313670807414,35.44280556236287,-1.0,-1.0,35.44280556236287,0.6204820004463913,6.216494200995859
2021-02-12,3.5919270196046043,62.47,1.661,5.232400818855089,35.44736482865466,-1.0,-1.0,35.44736482865466,-0.01776852889386915,6.19872567210199
2021-02-15,4.672751809935335,63.58,1.661,5.235140606105899,35.46492967493357,-1.0,-1.0,35.46492967493357,0.8694369542637805,7.06816262636577
2021-02-16,3.5686822662611775,63.96,1.702,5.236813320058719,35.482560360598605,-1.0,-1.0,35.482560360598605,0.5400572016746521,7.608219828040422
2021-02-17,3.6398086802769853,65.02,1.7287000000000001,5.238875758765168,35.506560606075666,-1.0,-1.0,35.506560606075666,-0.4190792671525165,7.189140560887906
2021-02-18,3.419535664787169,64.09,1.7076,5.240521732933363,35.52966990818273,-1.0,-1.0,35.52966990818273,-0.126143688001078,7.062996872886828
2021-02-19,2.3824838127393946,62.84,1.7006000000000001,5.240540782642128,35.55069751103176,-1.0,-1.0,35.55069751103176,0.9712633843063052,8.034260257193132
2021-02-22,2.5397779443606083,64.73,1.7485,5.241107190935709,35.56775639441773,-1.0,-1.0,35.56775639441773,0.8212710536458484,8.85553131083898
2021-02-23,1.4867919803885314,65.16,1.7892,5.239267358313625,35.58752963313854,-1.0,-1.0,35.58752963313854,0.7000558122254968,9.555587123064477
2021-02-24,1.8281253878779467,66.85,1.8256999999999999,5.230213583651606,35.61476398757849,-1.0,-1.0,35.61476398757849,-1.0763689462055686,8.479218176858907
2021-02-25,3.555249138100109,66.69,1.7704,5.210204855864771,35.66129172045859,-1.0,-1.0,35.66129172045859,-1.024922478209719,7.454295698649188
2021-02-26,4.474752163130837,65.86,1.7188999999999999,5.1900688610917065,35.71193660880166,-1.0,-1.0,35.71193660880166,-0.42486843412356146,7.029427264525627
2021-03-01,3.8608550346619097,64.56,1.6975,5.165763452952703,35.75796463348341,-1.0,-1.0,35.75796463348341,-0.2839132266152058,6.7455140379104215
2021-03-02,2.9199564232566075,63.17,1.683,5.141746309069045,35.79919404441081,-1.0,-1.0,35.79919404441081,0.5479711572647412,7.293485195175163
2021-03-03,3.4194075419519123,64.7,1.7099000000000002,5.118915257772213,35.83869960702268,-1.0,-1.0,35.83869960702268,1.3009153018860022,8.594400497061166
2021-03-04,3.6722054956955716,67.32,1.7738999999999998,5.09578651359236,35.88014798145579,-1.0,-1.0,35.88014798145579,0.6122326860557655,9.206633183116931
2021-03-05,5.0456701535063075,69.95,1.8061,5.048855850660024,35.93617731382188,-1.0,-1.0,35.93617731382188,-0.8456062427165053,8.361026940400427
2021-03-08,4.570035805067249,68.0,1.7622,4.98714818042807,35.994758934816,-1.0,-1.0,35.994758934816,-0.2390181285244813,8.122008811875945
2021-03-09,3.965315006464742,67.03,1.7497999999999998,4.950164685028875,36.04108183422978,-1.0,-1.0,36.04108183422978,0.40654553677858624,8.52855434865453
2021-03-10,3.6549839853686166,67.53,1.7699,4.903075676786954,36.08961863078783,-1.0,-1.0,36.08961863078783,0.8867034621601306,9.415257810814662
2021-03-11,3.7413776722145116,69.34,1.8147,4.826614480310129,36.14846659380917,-1.0,-1.0,36.14846659380917,-0.13664438755154187,9.27861342326312
2021-03-12,3.4364789910759015,68.87,1.8075,4.766247300613315,36.20111812388608,-1.0,-1.0,36.20111812388608,-0.3932503281266434,8.885363095136476
