Date,Spread,LCPCASH,LTICASH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-04-11,194.99721626921473,6912.25,21052.0,358.62819743583054,0.3190790795996003,-1.0,-1.0,0.3190790795996003,0.016992553476060893,0.06520156343586289
2018-04-12,90.22347590529716,6787.25,20980.0,359.6255235077689,0.3192100345135702,-1.0,-1.0,0.3192100345135702,0.000539021574609794,0.06574058501047268
2018-04-13,56.57864053603771,6796.5,21105.0,360.6372925976882,0.3193518767810454,-1.0,-1.0,0.3193518767810454,-0.011960954340711684,0.053779630669761
2018-04-16,137.76973285485747,6876.25,21090.0,361.22378758777825,0.31951068123021065,-1.0,-1.0,0.31951068123021065,0.014667588521651878,0.06844721919141288
2018-04-17,-74.2894109152503,6828.0,21595.0,363.05609191004504,0.31962442282543413,-1.0,-1.0,0.31962442282543413,-0.021335835585012848,0.04711138360640003
2018-04-18,54.13992696215519,6980.25,21660.0,364.09247439407744,0.3197650079888202,1.0,1.0,-0.3197650079888202,-0.0060680795594898335,0.041043304046910194
2018-04-19,1.5855762182773105,6941.5,21695.0,365.53157584160317,0.31988543091872423,-1.0,-1.0,0.31988543091872423,0.003792051241738743,0.04483535528864894
2018-04-20,-103.79983008425097,6951.0,22045.0,367.10539825973865,0.3200181369963371,-1.0,-1.0,0.3200181369963371,-0.00268132299543577,0.04215403229321317
2018-04-23,65.56322873930276,6898.5,21340.0,367.4693101834718,0.32019385057454064,1.0,1.0,-0.32019385057454064,0.009989462061623914,0.05214349435483708
2018-04-24,125.59364595459283,6970.0,21365.0,367.9688249261834,0.32035601937961183,-1.0,-1.0,0.32035601937961183,0.0015353111107218353,0.053678805465558914
2018-04-25,89.32773624097626,6969.75,21465.0,368.0779805669012,0.3205414518406254,-1.0,-1.0,0.3205414518406254,0.007262422545206034,0.060941228010764945
2018-04-26,15.740978784091567,6928.5,21555.0,368.76206907893715,0.3207032716871217,-1.0,-1.0,0.3207032716871217,0.01685277024880866,0.0777939982595736
2018-04-27,7.4320984343421514,6758.75,21041.0,369.46304666237785,0.32086487816955744,-1.0,-1.0,0.32086487816955744,0.0025138559661500087,0.0803078542257236
2018-04-30,-72.45190742818158,6770.0,21315.0,370.62421244046857,0.3210158061190796,-1.0,-1.0,0.3210158061190796,0.009645347051633259,0.08995320127735687
2018-05-01,-146.12687535229452,6707.25,21340.0,372.3231260712612,0.3211516811317851,1.0,1.0,-0.3211516811317851,0.013549040991722933,0.10350224226907981
2018-05-02,-28.799326949769238,6784.5,21205.0,373.37247513213805,0.32130626394481343,1.0,1.0,-0.32130626394481343,-0.0010527212260112518,0.10244952104306855
2018-05-03,-69.66841315607053,6791.75,21345.0,374.6722898861465,0.3214531934015493,1.0,1.0,-0.3214531934015493,-0.0002576655501159708,0.10219185549295258
2018-05-04,-75.28733540692974,6790.0,21345.0,375.4131113621712,0.3216344500073521,1.0,1.0,-0.3216344500073521,0.0,0.10219185549295258
2018-05-07,-78.98186613191683,6790.0,21345.0,376.2894054870554,0.321807536478422,1.0,1.0,-0.321807536478422,-0.007364309815863464,0.09482754567708912
2018-05-08,-63.47320271291028,6707.75,21030.0,377.2854121996808,0.3219792298008992,1.0,1.0,-0.3219792298008992,0.007311125287573082,0.1021386709646622
