Date,Spread,CRUDOIL,ETHANYH,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-04-10,3.454302102900826,64.61,1.43,10.199364468014513,42.76622230566376,-1.0,-1.0,42.76622230566376,0.015941804674199034,5.933975772925373
2019-04-11,2.410076994988792,63.58,1.43,10.185729024360935,42.77616993357427,-1.0,-1.0,42.77616993357427,-0.004875747090280047,5.929100025835092
2019-04-12,2.706353484345577,63.89,1.43,10.17096350100119,42.78576679416393,-1.0,-1.0,42.78576679416393,0.007669431835968132,5.93676945767106
2019-04-15,2.2050093749381787,63.4,1.43,10.155823445096106,42.79369973780547,-1.0,-1.0,42.79369973780547,-0.010252365930599305,5.926517091740461
2019-04-16,2.844444256415308,64.05,1.43,10.138735910241948,42.801087932576706,-1.0,-1.0,42.801087932576706,0.004527712724433974,5.931044804464895
2019-04-17,2.546939510450983,63.76,1.43,10.119932231753745,42.80633600667763,-1.0,-1.0,42.80633600667763,-0.0037641154328733606,5.927280689032021
2019-04-18,2.7729442264220268,64.0,1.43,10.106059880928735,42.816122918586,-1.0,-1.0,42.816122918586,0.0,5.927280689032021
2019-04-19,2.7617941478195647,64.0,1.43,10.089967671225224,42.82392017634996,-1.0,-1.0,42.82392017634996,-0.024218749999999956,5.903061939032021
2019-04-22,4.296846933575971,65.55,1.43,10.073207569742175,42.834372773723096,-1.0,-1.0,42.834372773723096,-0.013424866514111455,5.8896370725179095
2019-04-23,5.167473395837185,66.43,1.43,10.049303113245184,42.84092769521876,-1.0,-1.0,42.84092769521876,0.008128857443925996,5.897765929961835
2019-04-24,4.624360251031291,65.89,1.43,10.020142041536815,42.84310471955854,-1.0,-1.0,42.84310471955854,0.011079071179238231,5.908845001141073
2019-04-25,3.8870394413105274,65.16,1.43,9.998041655303295,42.84822416691571,-1.0,-1.0,42.84822416691571,0.0296193984039288,5.938464399545002
2019-04-26,1.9657678554580684,63.23,1.43,9.965326585798042,42.842120380798555,-1.0,-1.0,42.842120380798555,-0.004270124940692677,5.93419427460431
2019-04-29,2.2444013776445146,63.5,1.43,9.931517571571103,42.836082952696145,-1.0,-1.0,42.836082952696145,-0.0064566929133857975,5.9277375816909235
2019-04-30,2.6620770571598413,63.91,1.43,9.897518296870413,42.830715344643465,-1.0,-1.0,42.830715344643465,0.0048505711156312525,5.932588152806555
2019-05-01,2.3620235468156494,63.6,1.43,9.862076017429883,42.82375975747158,-1.0,-1.0,42.82375975747158,0.028144654088050336,5.9607328068946055
2019-05-02,0.5902751731110953,61.81,1.43,9.824817177068763,42.8109963824398,-1.0,-1.0,42.8109963824398,-0.002103219543763135,5.958629587350842
2019-05-03,0.7388002273657293,61.94,1.43,9.78651246628452,42.798041799044945,-1.0,-1.0,42.798041799044945,-0.005004843396835712,5.953624743954006
2019-05-06,1.0661636010805964,62.25,1.43,9.748151988678096,42.78589957966392,-1.0,-1.0,42.78589957966392,0.013654618473895597,5.967279362427902
2019-05-07,0.23593388516679425,61.4,1.43,9.71123602064196,42.77207420617707,-1.0,-1.0,42.77207420617707,-0.011726384364820763,5.955552978063082
2019-05-08,0.9769592069277877,62.12,1.43,9.668657368718403,42.75737118396658,-1.0,-1.0,42.75737118396658,0.006761107533805433,5.962314085596887
2019-05-09,0.5794571760568417,61.7,1.43,9.626483158356153,42.741638338421794,-1.0,-1.0,42.741638338421794,-0.5971368533691375,5.365177232227749
2019-05-10,1.4120188870468269,61.66,1.41,9.586457936611467,42.729064619115725,-1.0,-1.0,42.729064619115725,0.010055141096334652,5.375232373324084
2019-05-13,0.8074519360621295,61.04,1.41,9.552802458665438,42.71811919428218,-1.0,-1.0,42.71811919428218,-0.012123197903014526,5.363109175421069
2019-05-14,1.5398047846538319,61.78,1.41,9.539395309549494,42.72354270591927,-1.0,-1.0,42.72354270591927,-0.0038847523470380008,5.359224423074031
2019-05-15,1.7712429994075691,62.02,1.41,9.526256690948685,42.72961489403719,-1.0,-1.0,42.72961489403719,-0.013705256368913066,5.3455191667051185
2019-05-16,2.604504367977242,62.87,1.41,9.51730046436795,42.74148626384593,-1.0,-1.0,42.74148626384593,1.5174051833897872,6.8629243500949055
2019-05-17,0.3552601772208419,62.76,1.46,9.50346390284653,42.74297248135559,-1.0,-1.0,42.74297248135559,-0.005417463352453744,6.857506886742452
2019-05-20,0.6865602050230208,63.1,1.46,9.493403846832132,42.74893136642259,-1.0,-1.0,42.74893136642259,-0.00047543581616493746,6.857031450926287
2019-05-21,0.7099406243614226,63.13,1.46,9.482766732115348,42.75346532577985,-1.0,-1.0,42.75346532577985,0.029938222715032436,6.886969673641319
2019-05-22,-1.1836357871323528,61.24,1.46,9.47609102696659,42.75591492269339,-1.0,-1.0,42.75591492269339,0.05780535597648595,6.944775029617805
2019-05-23,-4.709633547429888,57.7,1.46,9.473095224798623,42.74632434755472,1.0,1.0,-42.74632434755472,-0.5729144405056664,6.3718605891121385
2019-05-24,-4.823020168429274,58.43,1.48,9.472472058008124,42.73852714083059,1.0,1.0,-42.73852714083059,0.0,6.3718605891121385
2019-05-27,-4.8061391901178325,58.43,1.48,9.468521187412758,42.72712107440394,1.0,1.0,-42.72712107440394,0.012151292144446435,6.384011881256585
