Date,Spread,EIAEBRT,EIALALS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-05-18,3.1407756019285245,78.38,2.332,2.8028406128500674,32.26381835251779,-1.0,-1.0,32.26381835251779,0.06968661718601034,4.157230193261499
2018-05-21,2.9294108133941563,78.34,2.337,2.8041314045850525,32.26811689627978,-1.0,-1.0,32.26811689627978,-0.09558840914898545,4.061641784112513
2018-05-22,5.141866492387564,80.42,2.332,2.81786234566874,32.28050321938784,-1.0,-1.0,32.28050321938784,0.15993617496688964,4.221577959079403
2018-05-23,3.0727336377239993,78.69,2.342,2.8216119908433024,32.28747496254312,-1.0,-1.0,32.28747496254312,-0.2783943614695041,3.9431835976098992
2018-05-24,3.905628298732765,78.9,2.322,2.828568538619212,32.29731770080415,-1.0,-1.0,32.29731770080415,-0.8610422566424248,3.0821413409674743
2018-05-25,3.653952180347517,76.6,2.258,2.8344041832815914,32.30560133731288,-1.0,-1.0,32.30560133731288,0.0,3.0821413409674743
2018-05-28,3.6328671246772757,76.6,2.258,2.839887992057747,32.31493927162211,-1.0,-1.0,32.31493927162211,-0.08720588927590087,2.9949354516915734
2018-05-29,1.7904285507119937,74.51,2.25,2.8403427622552675,32.319809533016894,-1.0,-1.0,32.319809533016894,0.6278751867682436,3.622810638459817
2018-05-30,1.7083222478747473,75.89,2.295,2.8408703648436204,32.32317113382364,-1.0,-1.0,32.32317113382364,-0.2608941690471331,3.3619164694126837
2018-05-31,2.8323224398060773,76.45,2.277,2.8432462681155775,32.33099585427928,-1.0,-1.0,32.33099585427928,-0.44358150786431283,2.918334961548371
2018-06-01,1.974128254999826,74.54,2.244,2.8424254813265137,32.33773250668457,-1.0,-1.0,32.33773250668457,-0.44598448973995136,2.4723504718084195
2018-06-04,1.8656835703880006,73.41,2.212,2.841932298780674,32.34372352152441,-1.0,-1.0,32.34372352152441,-0.08092055779198304,2.3914299140164363
2018-06-05,1.546712259818051,72.91,2.206,2.8400821773866998,32.34963179518674,-1.0,-1.0,32.34963179518674,-0.2830122746591839,2.1084176393572527
2018-06-06,2.4664146244959113,73.23,2.187,2.8411609474181714,32.35646336328491,-1.0,-1.0,32.35646336328491,0.638459639844186,2.7468772792014384
2018-06-07,2.9872640621608753,75.23,2.232,2.839834500663101,32.36681717645122,-1.0,-1.0,32.36681717645122,-0.40444023258878414,2.3424370466126545
2018-06-08,3.7529204794321487,75.11,2.204,2.8451913232901624,32.37617038138287,-1.0,-1.0,32.37617038138287,-0.06639234498856875,2.2760447016240857
2018-06-11,3.36479440594384,74.58,2.199,2.8483514735393407,32.385268573922765,-1.0,-1.0,32.385268573922765,-0.01848162857518561,2.2575630730489
2018-06-12,3.6510172661594993,74.86,2.198,2.848530181171079,32.39717139847156,-1.0,-1.0,32.39717139847156,0.35094003815524166,2.6085031112041417
2018-06-13,3.058360960936625,75.07,2.222,2.8447906514162224,32.408478415420056,-1.0,-1.0,32.408478415420056,-0.33146502758151114,2.2770380836226307
2018-06-14,3.4801521358127445,74.77,2.199,2.846077237605547,32.41921230749762,-1.0,-1.0,32.41921230749762,-1.1426370889738788,1.1344009946487519
2018-06-15,3.3020950058536727,72.02,2.119,2.8464266896840127,32.42940301753011,-1.0,-1.0,32.42940301753011,0.7409371228316728,1.8753381174804247
2018-06-18,4.471037440759446,74.87,2.17,2.8523286963986503,32.44191823006477,-1.0,-1.0,32.44191823006477,0.19368468129707084,2.0690227987774956
2018-06-19,4.068911391562267,74.92,2.183,2.8513198777699804,32.45583536804294,-1.0,-1.0,32.45583536804294,-0.7939041774764894,1.2751186213010062
2018-06-20,5.124382424866468,74.25,2.129,2.8618998879353943,32.46858505173017,-1.0,-1.0,32.46858505173017,-0.28642668299920804,0.9886919383017981
2018-06-21,4.370579210570469,72.87,2.109,2.868477699653511,32.479573631782614,-1.0,-1.0,32.479573631782614,0.6204404730994861,1.6091324114012844
2018-06-22,3.8150410362087257,73.67,2.15,2.8708597069198105,32.490678587809896,-1.0,-1.0,32.490678587809896,-0.12446955230317197,1.4846628590981124
2018-06-25,3.2364851249027424,72.82,2.141,2.871348927718772,32.50047401919535,-1.0,-1.0,32.50047401919535,0.21726396548909996,1.7019268245872123
2018-06-26,3.4843347130740057,73.58,2.156,2.870079215099149,32.51190412195083,-1.0,-1.0,32.51190412195083,0.5992362510174813,2.301163075604694
2018-06-27,4.598036246587384,76.09,2.198,2.8733200825946925,32.525916175346964,-1.0,-1.0,32.525916175346964,0.027361723740328137,2.328524799345022
2018-06-28,4.671005415074106,76.26,2.2,2.8759041796379794,32.54045208405722,-1.0,-1.0,32.54045208405722,0.44305117155327145,2.7715759708982937
2018-06-29,4.8094469182127,77.44,2.231,2.8796848205860712,32.55515602052322,-1.0,-1.0,32.55515602052322,-0.778551126178816,1.9930248447194776
2018-07-02,5.802279070844946,76.71,2.177,2.8901197004121233,32.57130038087048,-1.0,-1.0,32.57130038087048,0.34010449336666626,2.333129338086144
2018-07-03,4.215296623213177,75.87,2.199,2.88968289512295,32.58513113996673,-1.0,-1.0,32.58513113996673,-0.014762093053907854,2.318367245032236
2018-07-04,5.301066202884485,76.99,2.199,2.8958148152423955,32.600697497551394,-1.0,-1.0,32.600697497551394,0.3248563573684719,2.643223602400708
