Date,Spread,WHEATSF,EIANYGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-03-23,-0.30172474023453955,4.61,1.912,0.5746604647620406,2.5688936925912866,1.0,1.0,-2.5688936925912866,0.012512524906523704,0.4892471963967772
2018-03-26,-0.31218653512054306,4.55,1.893,0.5742017680258241,2.568508470745136,1.0,1.0,-2.568508470745136,-0.009632165521105285,0.4796150308756719
2018-03-27,-0.3582074429650195,4.5,1.892,0.5740898308063941,2.567762919114704,1.0,1.0,-2.567762919114704,-0.018389068822188555,0.4612259620534834
2018-03-28,-0.41454583647087695,4.46,1.899,0.5740500976309539,2.5669014410062543,1.0,1.0,-2.5669014410062543,-0.03926386045152747,0.4219621016019559
2018-03-29,-0.45247364955271596,4.52,1.938,0.5742122446788201,2.5657758769621855,1.0,1.0,-2.5657758769621855,0.0,0.4219621016019559
2018-03-30,-0.4501111234477264,4.52,1.938,0.5744410398408716,2.5645568232444407,1.0,1.0,-2.5645568232444407,0.05952786857782005,0.48148997017977596
2018-04-02,-0.35024667472305104,4.49,1.888,0.5744509765997458,2.5636899760185656,1.0,1.0,-2.5636899760185656,0.023140999774413275,0.5046309699541892
2018-04-03,-0.24168671318349766,4.6,1.889,0.5743481086094545,2.563095136677341,1.0,1.0,-2.563095136677341,-0.008418384800578273,0.49621258515361094
2018-04-04,-0.26835275954536186,4.58,1.892,0.5741882666529399,2.562554312656111,1.0,1.0,-2.562554312656111,0.021005070620489376,0.5172176557741003
2018-04-05,-0.1753113415876566,4.67,1.891,0.5739322451527245,2.5623010796338743,1.0,1.0,-2.5623010796338743,0.06591054635085912,0.5831282021249594
2018-04-06,-0.0029449845216165116,4.75,1.855,0.5739183763121513,2.562234493003567,1.0,1.0,-2.562234493003567,-0.006305534735315137,0.5768226673896443
2018-04-09,0.0940160727228383,4.93,1.887,0.5737372489584286,2.562789574603689,1.0,1.0,-2.562789574603689,-0.09508662773305554,0.48173603965658873
2018-04-10,-0.07318518076635439,4.95,1.96,0.5734647006643339,2.5628495820236505,-1.0,-1.0,2.5628495820236505,0.0650192154300881,0.5467552550866768
2018-04-11,-0.22994265724446628,4.9,2.002,0.5732920808570116,2.562408919702531,1.0,1.0,-2.562408919702531,-0.0022473607237697615,0.544507894362907
2018-04-12,-0.28029516491269746,4.82,1.991,0.5732781393435281,2.5616751204985926,1.0,1.0,-2.5616751204985926,-0.007719764300849478,0.5367881300620575
2018-04-13,-0.2937186222161712,4.82,1.997,0.5733602835384899,2.5607003616505613,1.0,1.0,-2.5607003616505613,-0.06250001177874745,0.4742881182833101
2018-04-16,-0.5255377309145057,4.63,2.015,0.5737257978461228,2.5585795190642706,1.0,1.0,-2.5585795190642706,0.013338669090518587,0.48762678737382864
2018-04-17,-0.4660723749884781,4.68,2.013,0.5737182271181859,2.5564194609977537,1.0,1.0,-2.5564194609977537,-0.0367682143666558,0.45085857300717286
2018-04-18,-0.5175352097413288,4.71,2.047,0.5732826848523708,2.553754377010908,1.0,1.0,-2.553754377010908,-0.001115930484394248,0.4497426425227786
2018-04-19,-0.4978227085983358,4.74,2.053,0.5730460151754031,2.5513018551380107,1.0,1.0,-2.5513018551380107,-0.04060481533733323,0.4091378271854454
