Date,Spread,EIAEBRT,BFO1MEU,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-03-22,0.4187091027400527,66.29,66.54,0.8548534215540361,0.9899502689699422,-1.0,-1.0,0.9899502689699422,-0.005877785155422246,0.17514022340838015
2019-03-25,0.7991289953939571,67.37,67.24,0.8555003262397018,0.9900486467074071,-1.0,-1.0,0.9900486467074071,0.006903626180991574,0.18204384958937173
2019-03-26,0.3328233430120804,67.51,67.85,0.8563302098215173,0.9900836648045384,-1.0,-1.0,0.9900836648045384,0.005434390216007992,0.18747823980537973
2019-03-27,-0.03423487394742608,67.35,68.06,0.856385638900812,0.9900710384065151,-1.0,-1.0,0.9900710384065151,0.006055329950520178,0.19353356975589991
2019-03-28,-0.43045583068115434,66.08,67.18,0.8562156148922576,0.9900335789026666,1.0,1.0,-0.9900335789026666,0.007659268620972631,0.20119283837687255
2019-03-29,0.05603910845306359,67.93,68.56,0.8552053551839416,0.9899935952676042,1.0,1.0,-0.9899935952676042,0.011586460918822592,0.21277929929569514
2019-04-01,0.8386188717154397,69.08,68.93,0.8577319648603746,0.9900098814490722,-1.0,-1.0,0.9900098814490722,-6.80579405261672e-05,0.21271124135516897
2019-04-02,0.8461096014000731,69.68,69.53,0.8577487047578103,0.9899883560851421,-1.0,-1.0,0.9899883560851421,0.0014769529723262613,0.21418819432749522
2019-04-03,0.7447093227432049,69.21,69.16,0.8565305933424794,0.9899550416029033,-1.0,-1.0,0.9899550416029033,-0.00022266970629741117,0.2139655246211978
2019-04-04,0.760842352298738,69.8,69.74,0.8578449539809673,0.9899506402021977,-1.0,-1.0,0.9899506402021977,0.00012481843245338783,0.21409034305365118
2019-04-05,0.754322022538247,69.93,69.88,0.8572880282961987,0.989920978498308,-1.0,-1.0,0.989920978498308,-0.001576063002089019,0.21251428005156217
2019-04-08,0.8654403395486128,71.12,70.97,0.859148710283948,0.9899191159708525,-1.0,-1.0,0.9899191159708525,-0.0008256723924394914,0.21168860765912267
2019-04-09,0.9275058727198058,71.02,70.81,0.8559802668236485,0.9898671674520575,-1.0,-1.0,0.9898671674520575,0.001475894334532343,0.21316450199365503
2019-04-10,0.8262769568044632,71.63,71.53,0.8564691081550699,0.989846540517203,-1.0,-1.0,0.989846540517203,0.002808042064994929,0.21597254405864996
2019-04-11,0.6288546450662125,71.3,71.4,0.8539824456574349,0.9897919517497729,-1.0,-1.0,0.9897919517497729,0.000649226091498604,0.21662177015014858
2019-04-12,0.5828981797907602,71.57,71.72,0.8549713293691729,0.9897811185193703,-1.0,-1.0,0.9897811185193703,0.0014951057179176785,0.21811687586806625
2019-04-15,0.4815559975615997,70.9,71.15,0.8519674326506348,0.9897181166892256,-1.0,-1.0,0.9897181166892256,0.004899657302391815,0.22301653317045805
2019-04-16,0.13905949390357364,70.74,71.34,0.8485104397606295,0.9896403210834933,-1.0,-1.0,0.9896403210834933,0.0019751818182384565,0.22499171498869652
2019-04-17,0.0018705641821696872,71.14,71.89,0.8434547043670867,0.9895413748201117,-1.0,-1.0,0.9895413748201117,0.006319712645532716,0.23131142763422924
2019-04-18,-0.4381608188749482,70.71,71.91,0.8363807073297834,0.9894056573338194,-1.0,-1.0,0.9894056573338194,0.0,0.23131142763422924
2019-04-19,-0.4317811995593246,70.71,71.91,0.8343102242806368,0.9893169406140916,1.0,1.0,-0.9893169406140916,0.0,0.23131142763422924
2019-04-22,-0.42576873823422545,70.71,71.91,0.8326547800870542,0.9892333296931474,1.0,1.0,-0.9892333296931474,0.049704945122885626,0.2810163727571149
2019-04-23,3.0785293255426467,74.39,72.08,0.8579868930110066,0.9893378284469666,1.0,1.0,-0.9893378284469666,-0.04520527054299996,0.23581110221411491
2019-04-24,-0.1986253026233129,73.59,74.59,0.8558434488719392,0.9892562716533491,0.0,0.0,-0.0,0.0,0.23581110221411491
2019-04-25,0.5986551698436244,74.94,75.15,0.8568671442034347,0.9892394521644228,1.0,1.0,-0.9892394521644228,-0.010446676008664127,0.22536442620545077
2019-04-26,-0.16958626656122533,71.03,71.98,0.8549632351181432,0.9891579086768716,-1.0,-1.0,0.9891579086768716,-0.00212524122584224,0.22323918497960854
2019-04-29,-0.013843697604229988,71.22,72.02,0.8532171510867799,0.9890841946348824,1.0,1.0,-0.9890841946348824,0.0015343199736652172,0.22477350495327375
2019-04-30,0.08871341366054253,72.19,72.9,0.8531556416203934,0.9890437117467689,1.0,1.0,-0.9890437117467689,0.012294750583040677,0.23706825553631442
2019-05-01,0.987497410153324,72.01,71.81,0.855857423603364,0.9890335968506709,-1.0,-1.0,0.9890335968506709,-0.0019005845063774923,0.2351676710299369
2019-05-02,1.1196806290725618,70.56,70.21,0.8598960654297014,0.9890374500915461,-1.0,-1.0,0.9890374500915461,-0.0022318575789294533,0.23293581345100745
2019-05-03,1.2814544433246482,71.95,71.45,0.8654698111251348,0.9890629189177795,-1.0,-1.0,0.9890629189177795,0.0,0.23293581345100745
2019-05-06,1.2784733612331394,71.95,71.45,0.8713719535587302,0.989104641550271,-1.0,-1.0,0.989104641550271,-0.0011923262737593924,0.23174348717724805
2019-05-07,1.3518048420249755,70.98,70.39,0.877624479576916,0.9891773711887346,-1.0,-1.0,0.9891773711887346,0.002947167223307055,0.23469065440055512
2019-05-08,1.1418645322875705,71.09,70.71,0.8824531287067724,0.9892255051295776,-1.0,-1.0,0.9892255051295776,0.009549983585283745,0.24424063798583887
2019-05-09,0.46630351978919293,70.61,70.91,0.8830620833061765,0.9891932940376649,-1.0,-1.0,0.9891932940376649,-0.014864045446454997,0.22937659253938386
2019-05-10,1.5121843485778044,71.63,70.88,0.890474146534869,0.9892468348112613,-1.0,-1.0,0.9892468348112613,-0.0071207593670787935,0.22225583317230507
2019-05-13,2.0192320383095534,72.35,71.09,0.9022647952933873,0.9893201288745315,-1.0,-1.0,0.9893201288745315,0.0015478632571285763,0.22380369642943365
