Date,Spread,EIAEBRT,EIAGCLS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-12-28,0.7354730372297382,50.88,1.427,4.57237803952431,35.139822678885956,-1.0,-1.0,35.139822678885956,0.23027246875613244,-2.9956392417114404
2020-12-29,-0.007591992389897939,50.44,1.436,4.568659660449545,35.13063509219352,-1.0,-1.0,35.13063509219352,-0.0059476605868358234,-3.001586902298276
2020-12-30,0.293708827406455,50.74,1.436,4.567656977692558,35.12972922882559,1.0,1.0,-35.12972922882559,0.10731439108275966,-2.8942725112155165
2020-12-31,0.9122479714387666,51.22,1.432,4.566705543113181,35.13111175178857,-1.0,-1.0,35.13111175178857,0.0,-2.8942725112155165
2021-01-01,0.9094487058947252,51.22,1.432,4.565935305179696,35.1330665461629,-1.0,-1.0,35.1330665461629,-0.8421041721289123,-3.736376683344429
2021-01-04,1.3025818658116535,50.37,1.397,4.559146946244718,35.12342028216775,-1.0,-1.0,35.12342028216775,1.8051203384339802,-1.9312563449104487
2021-01-05,1.497350525130713,53.16,1.471,4.55623234338998,35.120767827919295,-1.0,-1.0,35.120767827919295,-0.2507934971695316,-2.18204984207998
2021-01-06,2.490802879579114,53.8,1.461,4.553160055885892,35.11923143081511,-1.0,-1.0,35.11923143081511,0.7229928516819653,-1.4590569903980148
2021-01-07,1.3484171209623739,53.7,1.491,4.54769836851615,35.11172560632973,-1.0,-1.0,35.11172560632973,1.0024551438067935,-0.4566018465912214
2021-01-08,1.6173185910178205,55.51,1.535,4.544697448046448,35.10923870291999,-1.0,-1.0,35.10923870291999,-0.2852721894190254,-0.7418740360102467
2021-01-11,1.4052995769803616,54.84,1.522,4.542681059273292,35.10821315572907,-1.0,-1.0,35.10821315572907,0.5328240250103288,-0.20905001099991793
2021-01-12,1.6984135875545547,55.98,1.546,4.541932207670252,35.110987330171696,-1.0,-1.0,35.110987330171696,-0.014493638121813365,-0.2235436491217313
2021-01-13,1.2825654345476138,55.52,1.545,4.537383960381862,35.10513564106951,-1.0,-1.0,35.10513564106951,0.42739087561731126,0.20384722649557996
2021-01-14,0.8631450572277402,55.76,1.564,4.534315067183151,35.100290884125485,-1.0,-1.0,35.100290884125485,-0.6560625941531169,-0.4522153676575369
2021-01-15,0.9684663431223584,54.8,1.534,4.52921411241823,35.09226444385765,-1.0,-1.0,35.09226444385765,0.010766423357664201,-0.4414489442998727
2021-01-18,0.3905673577486226,54.21,1.534,4.5255407069014835,35.08437590759542,-1.0,-1.0,35.08437590759542,0.16138663206760376,-0.28006231223226896
2021-01-19,1.2954673723100925,55.38,1.542,4.517761470134891,35.07427537463678,-1.0,-1.0,35.07427537463678,-0.027801940164941065,-0.30786425239721005
2021-01-20,1.611018050515284,55.66,1.541,4.515962358911444,35.07396622289728,-1.0,-1.0,35.07396622289728,0.04516172189326841,-0.26270253050394166
2021-01-21,1.5596966008354372,55.68,1.543,4.514730715156925,35.074726765498745,-1.0,-1.0,35.074726765498745,-0.49183182320725116,-0.7545343537111928
2021-01-22,1.8641409429202298,55.22,1.521,4.514877823202544,35.07946026106494,-1.0,-1.0,35.07946026106494,0.503411153706281,-0.25112320000491184
2021-01-25,1.2974950408188306,55.44,1.543,4.51528679121386,35.089115333234716,-1.0,-1.0,35.089115333234716,0.0032467532467532756,-0.24787644675815856
2021-01-26,1.1076203692823015,55.26,1.543,4.51550379635216,35.09551499074381,-1.0,-1.0,35.09551499074381,0.2081431750020545,-0.039733271756104055
2021-01-27,0.5989046147353747,55.07,1.552,4.515214324097362,35.09735527401071,-1.0,-1.0,35.09735527401071,-0.13205391041250417,-0.17178718216860822
2021-01-28,0.6017199264835682,54.87,1.546,4.515238367242049,35.102380383904546,-1.0,-1.0,35.102380383904546,-0.14315720811096494,-0.31494439027957316
2021-01-29,1.1785436524640147,55.25,1.54,4.515554581824638,35.111335290607784,-1.0,-1.0,35.111335290607784,1.210000221420088,0.8950558311405148
2021-02-01,0.4481747460094141,56.42,1.594,4.51541551003828,35.11406854077201,-1.0,-1.0,35.11406854077201,0.7497424890870723,1.644798320227587
2021-02-02,0.41783503924803256,57.62,1.629,4.515000330843991,35.11489561740452,-1.0,-1.0,35.11489561740452,0.26304783537846965,1.9078461556060566
2021-02-03,0.9493677290047486,58.61,1.642,4.514283649563366,35.11609760718347,-1.0,-1.0,35.11609760718347,0.29309351925575766,2.2009396748618144
