Date,Spread,WHEATSF,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-08-05,0.14703988850366478,4.99,1.697,0.9620768929690773,2.853836247198783,1.0,1.0,-2.853836247198783,0.042897386737458604,1.5097430895386486
2019-08-06,0.13331470880651075,4.86,1.656,0.9622309547883381,2.8542785574839913,-1.0,-1.0,2.8542785574839913,-0.07889797734690411,1.4308451121917445
2019-08-07,0.2879459623976164,4.9,1.615,0.9622583444010445,2.8557610139952843,-1.0,-1.0,2.8557610139952843,-0.009253438317519501,1.421591673874225
2019-08-08,0.35315343583061587,4.98,1.619,0.9621069951540805,2.8578422261700953,-1.0,-1.0,2.8578422261700953,0.010348296211937094,1.431939970086162
2019-08-09,0.3392167705058853,4.99,1.626,0.961800637524339,2.8602602887417685,-1.0,-1.0,2.8602602887417685,0.05435314678054532,1.4862931168667073
2019-08-12,0.05799697870709952,4.71,1.625,0.9613633399537646,2.8627710900264005,-1.0,-1.0,2.8627710900264005,0.0806770061994633,1.5669701230661706
2019-08-13,-0.07053888413358766,4.72,1.672,0.961075533964709,2.8651548350081266,-1.0,-1.0,2.8651548350081266,-0.09605559414477971,1.4709145289213907
2019-08-14,0.05836522957484114,4.68,1.611,0.9594396145502301,2.868798740177007,1.0,1.0,-2.868798740177007,0.04950518669945697,1.5204197156208477
2019-08-15,0.12557824497551184,4.67,1.582,0.9577180622863516,2.872580123277173,-1.0,-1.0,2.872580123277173,0.06653316321633253,1.5869528788371803
2019-08-16,0.027762991292343386,4.69,1.621,0.9563226062824135,2.876148679030017,-1.0,-1.0,2.876148679030017,0.03265327502889376,1.619606153866074
2019-08-19,-0.044798814623208116,4.67,1.637,0.9544084853933015,2.880145885536474,-1.0,-1.0,2.880145885536474,0.03885711714347781,1.6584632710095517
2019-08-20,-0.14427415826762946,4.62,1.653,0.9544371977875349,2.8821985228479305,1.0,1.0,-2.8821985228479305,-0.23629011010113143,1.4221731609084203
2019-08-21,-0.524075802938321,4.64,1.791,0.9557266475647416,2.883347740334071,1.0,1.0,-2.883347740334071,0.06551278176263337,1.4876859426710536
2019-08-22,-0.37892638603964457,4.69,1.757,0.956319356286319,2.884989405827914,1.0,1.0,-2.884989405827914,0.05646550654160524,1.544151449212659
2019-08-23,-0.23262979109538762,4.77,1.733,0.9566041116382005,2.8866877040365764,1.0,1.0,-2.8866877040365764,0.00746714746035876,1.5516185966730176
2019-08-26,-0.23554464169958855,4.75,1.726,0.9567735847112394,2.888496316164304,1.0,1.0,-2.888496316164304,-0.04351153199320523,1.5081070646798125
2019-08-27,-0.3137635081711725,4.75,1.752,0.9570558108123486,2.890275974983546,1.0,1.0,-2.890275974983546,-0.08294060720709212,1.4251664574727203
2019-08-28,-0.4670571893107276,4.74,1.801,0.9583185318248623,2.8912033255473224,1.0,1.0,-2.8912033255473224,0.014540204916657362,1.4397066623893777
2019-08-29,-0.46253491939572466,4.71,1.788,0.9589512749642102,2.8929166215859756,1.0,1.0,-2.8929166215859756,0.09931023637792216,1.5390168987672999
2019-08-30,-0.4006758896893343,4.53,1.703,0.958850687434988,2.895288249964377,1.0,1.0,-2.895288249964377,0.0,1.5390168987672999
2019-09-02,-0.4044234249404912,4.53,1.703,0.9588547231141709,2.897488799142978,1.0,1.0,-2.897488799142978,0.2570517221183126,1.7960686208856125
2019-09-03,0.07274894162904033,4.6,1.561,0.9582218301256054,2.900224893254939,1.0,1.0,-2.900224893254939,-0.048268130629209066,1.7478004902564035
2019-09-04,0.03235999119386612,4.66,1.594,0.9573603602015953,2.9031618624881643,-1.0,-1.0,2.9031618624881643,0.00715883019896792,1.7549593204553715
2019-09-05,0.05525008823892108,4.72,1.605,0.9563046409740802,2.9063862378573697,-1.0,-1.0,2.9063862378573697,0.06792423879974507,1.8228835592551165
2019-09-06,-0.07811554241725371,4.69,1.639,0.95577796295426,2.9091614047695264,-1.0,-1.0,2.9091614047695264,0.006720182596423863,1.8296037418515403
2019-09-09,-0.022266715011509675,4.8,1.656,0.9552174433422799,2.9119968085818293,1.0,1.0,-2.9119968085818293,0.0030579767960470343,1.8326617186475873
2019-09-10,0.00393299865144936,4.84,1.659,0.9544699906607909,2.9150494281787527,1.0,1.0,-2.9150494281787527,0.009306660928351192,1.8419683795759385
2019-09-11,-0.012339187448782596,4.8,1.649,0.9536097477950406,2.91833789414723,-1.0,-1.0,2.91833789414723,-0.04258595767162132,1.7993824219043173
2019-09-12,0.09086618368880828,4.86,1.632,0.9521419049573481,2.9222633678377403,1.0,1.0,-2.9222633678377403,0.001790602553821814,1.8011730244581392
2019-09-13,0.08737236259554315,4.86,1.631,0.9507219861990341,2.92619720257784,-1.0,-1.0,2.92619720257784,0.2642111199285486,2.065384144386688
2019-09-16,-0.31655315956345387,4.91,1.784,0.949777825162719,2.92968226432929,-1.0,-1.0,2.92968226432929,-0.08342201959461326,1.9819621247920747
2019-09-17,-0.20657204643921112,4.86,1.727,0.9481737268364536,2.9337417755872677,1.0,1.0,-2.9337417755872677,0.029333182055699753,2.0112953068477744
2019-09-18,-0.12435703298574818,4.92,1.717,0.9467176979817753,2.9378899434978147,1.0,1.0,-2.9378899434978147,-0.10330651806617383,1.9079887887816005
2019-09-19,-0.32057122574825936,4.9,1.775,0.9463672101902975,2.9411668877454984,1.0,1.0,-2.9411668877454984,0.03976789031317858,1.9477566790947791
2019-09-20,-0.2565448187257502,4.9,1.751,0.9455200365454399,2.944914231139778,1.0,1.0,-2.944914231139778,0.01165993036324451,1.9594166094580237
2019-09-23,-0.27401895433763457,4.85,1.738,0.9451569092878762,2.948227246454335,1.0,1.0,-2.948227246454335,0.05391714268029565,2.0133337521383194
2019-09-24,-0.19228208483800024,4.84,1.705,0.9448216204120643,2.9514850937466277,1.0,1.0,-2.9514850937466277,0.02775310011659224,2.0410868522549115
2019-09-25,-0.18332132943552004,4.79,1.683,0.9442022609104926,2.955033469658657,1.0,1.0,-2.955033469658657,-0.07189187232614372,1.9691949799287678
2019-09-26,-0.34171977980595614,4.74,1.718,0.9443365648796286,2.957927694881232,1.0,1.0,-2.957927694881232,-0.0007759544574603861,1.9684190254713074
