Date,Spread,WHEATSF,NATBGAS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2021-03-31,-1.0195957722979259,6.45,0.6456995999999999,2.5322437246510834,11.568221154694733,1.0,1.0,-11.568221154694733,-0.13249755185925371,-2.2496992738293518
2021-04-01,-1.152474212922102,6.38,0.65248941,2.5253832831472254,11.544209143443572,1.0,1.0,-11.544209143443572,0.0,-2.2496992738293518
2021-04-02,-1.1373388552214587,6.38,0.65248941,2.5180010888087643,11.521012816470781,1.0,1.0,-11.521012816470781,-0.049463306805834176,-2.299162580635186
2021-04-05,-1.0920814417540523,6.45,0.6559121350000001,2.5113578193104176,11.498615499397722,1.0,1.0,-11.498615499397722,-0.40430054104928853,-2.7034631216844747
2021-04-06,-1.3576765050090884,6.43,0.678797655,2.5050756766387043,11.472751043916155,1.0,1.0,-11.472751043916155,0.2985689097371604,-2.4048942119473145
2021-04-07,-1.1309782488105968,6.44,0.6612245200000001,2.496111196743689,11.449935717463406,1.0,1.0,-11.449935717463406,0.2466630567223253,-2.158231155224989
2021-04-08,-0.8475737490647095,6.56,0.648056,2.4864235509527,11.430453153839652,1.0,1.0,-11.430453153839652,0.09758191244549687,-2.0606492427794922
2021-04-09,-0.6828184449410104,6.66,0.6433878,2.476963421606425,11.412741188037776,1.0,1.0,-11.412741188037776,-0.5848849978220572,-2.6455342406015494
2021-04-12,-1.143005679932716,6.55,0.6754293,2.4672032576191283,11.38980153797402,1.0,1.0,-11.38980153797402,0.14050925658462232,-2.505024984016927
2021-04-13,-1.016608634219077,6.57,0.667278,2.4572804221664666,11.369487131628912,1.0,1.0,-11.369487131628912,-0.07933188801660065,-2.5843568720335277
2021-04-14,-0.8950205040553367,6.75,0.67354196,2.447787544864275,11.35047399876221,1.0,1.0,-11.35047399876221,-0.3532135010770523,-2.93757037311058
2021-04-15,-1.064012959508629,6.81,0.69502927,2.438763503621548,11.329037925997891,1.0,1.0,-11.329037925997891,-0.19337983724598592,-3.130950210356566
