Date,Spread,EIAEBRT,EIANYLS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-09-19,-3.2068468389489198,64.25,2.027,2.9168128608798067,33.279154829279186,1.0,1.0,-33.279154829279186,0.458537171070644,-2.0913417476278884
2019-09-20,-1.300416756855455,65.23,2.0,2.906769541134841,33.26520837842773,1.0,1.0,-33.26520837842773,0.10768991873120987,-1.9836518288966785
2019-09-23,-1.600198388505703,64.66,1.993,2.88565463202885,33.24646181058991,1.0,1.0,-33.24646181058991,0.5589782418395828,-1.4246735870570957
2019-09-24,-0.9683765597324197,64.13,1.959,2.8685811680708344,33.23041172012885,1.0,1.0,-33.23041172012885,0.02406831795799242,-1.4006052690991033
2019-09-25,-2.555724016958152,62.41,1.956,2.859122445291705,33.21356033586817,1.0,1.0,-33.21356033586817,-0.0052876141643967145,-1.4058928832635
2019-09-26,-2.850857606881533,62.08,1.956,2.850134140948637,33.19573497284332,1.0,1.0,-33.19573497284332,0.1422131761586158,-1.2636797071048842
2019-09-27,-2.154427722130926,62.48,1.948,2.8408473500895686,33.179891027787946,1.0,1.0,-33.179891027787946,0.7426282908578267,-0.5210514162470575
2019-09-30,-2.1241599409805048,60.99,1.903,2.8337869238061226,33.16561216026301,1.0,1.0,-33.16561216026301,-0.050104536070140385,-0.571155952317198
2019-10-01,-3.0925177848572503,60.06,1.905,2.831316830782987,33.150927971053676,1.0,1.0,-33.150927971053676,0.5212349460349579,-0.049921006282240055
2019-10-02,-4.139292055493492,57.92,1.873,2.831330419760583,33.13363163667565,1.0,1.0,-33.13363163667565,-0.19303766917085788,-0.24295867545309793
2019-10-03,-4.383708765397856,58.01,1.884,2.8351680356410025,33.1176798117823,1.0,1.0,-33.1176798117823,-0.2971039375840393,-0.5400626130371372
2019-10-04,-3.8308227702990862,59.13,1.902,2.8363868353847943,33.10243047860099,1.0,1.0,-33.10243047860099,-0.20326721843168255,-0.7433298314688197
