Date,Spread,CRUDOIL,EIAGCGR,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-07-25,3.0781905934624234,71.3,2.062,4.41096074398679,33.08526159385916,-1.0,-1.0,33.08526159385916,0.6655118130771229,8.482024367380594
2018-07-26,0.04957102110670064,69.61,2.102,4.402657857247015,33.092497135534394,-1.0,-1.0,33.092497135534394,-0.018760146243658425,8.463264221136935
2018-07-27,0.27725258079547643,69.82,2.101,4.395062630476215,33.099832184295344,-1.0,-1.0,33.099832184295344,-0.11500717421492679,8.348257046922008
2018-07-30,1.8819448056452472,71.25,2.095,4.3858018700842205,33.11124352952494,-1.0,-1.0,33.11124352952494,0.24035617247883617,8.588613219400845
2018-07-31,0.04200880186921552,69.89,2.109,4.376163637607513,33.11900957711275,-1.0,-1.0,33.11900957711275,-1.3029034397701507,7.285709779630694
2018-08-01,0.6089235968294417,67.66,2.024,4.36542648342931,33.12800217547952,-1.0,-1.0,33.12800217547952,0.2263001344777154,7.512009914108409
2018-08-02,1.3905128779532276,68.96,2.039,4.354717905261542,33.13854199217595,-1.0,-1.0,33.13854199217595,0.006815545243619492,7.518825459352029
2018-08-03,0.900510376943302,68.49,2.039,4.342933445785349,33.14835194853197,-1.0,-1.0,33.14835194853197,-0.056363833233156295,7.4624616261188725
2018-08-06,1.4958977392278996,69.01,2.036,4.329380749164779,33.16016810450496,-1.0,-1.0,33.16016810450496,0.5677236779785082,8.030185304097381
2018-08-07,0.47616473701903317,69.17,2.071,4.317791159247953,33.16940379670737,-1.0,-1.0,33.16940379670737,-1.2810831931007325,6.749102110996649
2018-08-08,0.9470725790025369,66.94,1.989,4.306876561003511,33.17894792408118,-1.0,-1.0,33.17894792408118,-0.18155138978768012,6.567550721208969
2018-08-09,1.1629386883496124,66.81,1.978,4.2968179744198896,33.1886053142823,-1.0,-1.0,33.1886053142823,0.6253234569925934,7.192874178201562
2018-08-10,0.7025206558524957,67.63,2.016,4.285370044411378,33.1981544365811,-1.0,-1.0,33.1981544365811,-0.12538058298925606,7.067493595212306
2018-08-13,0.5065672215161925,67.2,2.008,4.2536154434113715,33.21386094546006,-1.0,-1.0,33.21386094546006,0.20087016121836293,7.268363756430669
2018-08-14,-0.07988555974948497,67.04,2.02,4.225253501927747,33.227666118687864,-1.0,-1.0,33.227666118687864,-0.6934905155652662,6.5748732408654025
2018-08-15,-0.6820286715750541,65.01,1.976,4.178207052949294,33.24495378116147,1.0,1.0,-33.24495378116147,0.07421948928795323,6.649092730153356
2018-08-16,-0.1443435723834341,65.46,1.972,4.109262724554778,33.267922704048395,1.0,1.0,-33.267922704048395,0.0912251439263263,6.7403178740796825
2018-08-17,0.40760106679000785,65.91,1.967,3.9920367395197807,33.30066036258769,1.0,1.0,-33.30066036258769,-0.7031565823874398,6.037161291692243
2018-08-20,-0.5704583317554466,66.43,2.009,3.7571775055482752,33.35015347523915,-1.0,-1.0,33.35015347523915,0.14168452982863508,6.178845821520878
2018-08-21,-1.510531916209004,65.84,2.017,3.5583047435836788,33.39143872890878,1.0,1.0,-33.39143872890878,-0.595219798710833,5.583626022810045
2018-08-22,0.41282449415287203,69.16,2.056,3.342524288665158,33.43734217210463,1.0,1.0,-33.43734217210463,-1.0456226624430416,4.538003360367004
2018-08-23,-2.1165338892717642,68.83,2.12,3.218066676963326,33.465346174184795,-1.0,-1.0,33.465346174184795,0.20661430596278824,4.744617666329792
2018-08-24,-1.646061475308528,69.82,2.134,3.1232526669691096,33.48925092563661,1.0,1.0,-33.48925092563661,-0.32747006153834174,4.417147604791451
2018-08-27,-3.2964798473047665,68.87,2.154,3.070067609182095,33.503472538210204,1.0,1.0,-33.503472538210204,0.0883875985196124,4.505535203311063
2018-08-28,-3.4782931265991976,68.53,2.148,2.9749125241767396,33.52341393230875,1.0,1.0,-33.52341393230875,-0.45390379876470166,4.051631404546361
2018-08-29,-3.534308291764674,69.51,2.178,2.9175695389187832,33.53733163074595,1.0,1.0,-33.53733163074595,-0.5282918859001101,3.5233395186462513
2018-08-30,-3.9996596376616225,70.25,2.213,2.854162343881546,33.551585918509545,1.0,1.0,-33.551585918509545,2.3435698222581323,5.8669093409043835
2018-08-31,0.7117716263029195,69.8,2.058,2.8051732538398695,33.57056772288488,1.0,1.0,-33.57056772288488,0.0,5.8669093409043835
2018-09-03,0.685808089522979,69.8,2.058,2.784783856291489,33.5831836299694,-1.0,-1.0,33.5831836299694,-0.21314153743330394,5.653767803471079
2018-09-04,1.1624798868792254,69.87,2.045,2.7596726797523248,33.59780934626933,-1.0,-1.0,33.59780934626933,-1.0350126455420363,4.6187551579290425
2018-09-05,2.127329222856247,68.72,1.981,2.728294467128413,33.61568439027953,-1.0,-1.0,33.61568439027953,-0.18980436362851316,4.42895079430053
2018-09-06,1.5468468473703325,67.77,1.969,2.693865617983227,33.632886314184695,-1.0,-1.0,33.632886314184695,0.18818833546528277,4.617139129765812
2018-09-07,1.1322247125798128,67.75,1.98,2.6770250092523455,33.64534105425262,-1.0,-1.0,33.64534105425262,-0.06487075497187772,4.552268374793934
2018-09-10,1.032487903033271,67.54,1.976,2.6599786723364764,33.657647822351585,-1.0,-1.0,33.657647822351585,0.9285421347224645,5.480810509516399
2018-09-11,0.830029977539823,69.25,2.032,2.6368629452795305,33.671245089793395,-1.0,-1.0,33.671245089793395,0.2655251235251049,5.746335633041504
2018-09-12,1.3488441344349127,70.37,2.049,2.6173643499345998,33.68528836777213,-1.0,-1.0,33.68528836777213,-0.7144991644583051,5.031836468583199
2018-09-13,1.0599687498145016,68.59,2.004,2.6019323456025725,33.697620384324104,-1.0,-1.0,33.697620384324104,-0.37576571021491906,4.65607075836828
2018-09-14,2.17715339670022,68.99,1.982,2.592602228295135,33.70981160610483,-1.0,-1.0,33.70981160610483,0.0011595883461370526,4.657230346714417
2018-09-17,2.070483240084414,68.91,1.982,2.57872887920346,33.723267790068405,-1.0,-1.0,33.723267790068405,0.5818758568773055,5.239106203591723
2018-09-18,1.811035815827637,69.85,2.017,2.574151114022518,33.732753685757245,-1.0,-1.0,33.732753685757245,0.23268149628836832,5.471787699880091
2018-09-19,2.554864358208107,71.12,2.032,2.570909353196518,33.742684863086566,-1.0,-1.0,33.742684863086566,-0.0385683620728957,5.433219337807195
2018-09-20,1.8376353787474358,70.32,2.029,2.5667662893069223,33.7517814791782,-1.0,-1.0,33.7517814791782,0.07719720510010923,5.510416542907304
