Date,Spread,EIAEBRT,GOEUARA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-09-11,4.252632066113684,38.8,307.0,4.466697255074657,0.11253214310712154,-1.0,-1.0,0.11253214310712154,0.005744557945508603,1.080676499642633
2020-09-14,4.056871272961118,38.57,306.5,4.467446981288657,0.11260400889735361,-1.0,-1.0,0.11260400889735361,-0.02459799961725,1.056078500025383
2020-09-15,4.836037294556135,39.54,308.0,4.472212950782424,0.11267520358910346,-1.0,-1.0,0.11267520358910346,-0.041461127526235375,1.0146173724991476
2020-09-16,6.107283675001952,41.23,311.5,4.482524953755195,0.11275350345103706,-1.0,-1.0,0.11275350345103706,-0.022459082232995052,0.9921582902661525
2020-09-17,5.731289532714115,42.35,324.5,4.487392915363904,0.1128465653845482,-1.0,-1.0,0.1128465653845482,0.003356218238349482,0.9955145085045021
2020-09-18,5.877307608252217,42.16,321.25,4.491790081088964,0.11294223312606312,-1.0,-1.0,0.11294223312606312,0.03709584540892425,1.0326103539134264
2020-09-21,5.780960596242991,40.37,306.0,4.495650353005812,0.11303607648286602,-1.0,-1.0,0.11303607648286602,-0.012288756794853993,1.0203215971185724
2020-09-22,6.419463856886125,40.84,304.25,4.503328903468708,0.11313241131672598,-1.0,-1.0,0.11313241131672598,-0.005842569334152779,1.0144790277844196
2020-09-23,6.55557985705704,41.09,305.0,4.512343299190715,0.1132276070260425,-1.0,-1.0,0.1132276070260425,-0.002072761504416455,1.012406266280003
2020-09-24,6.190889277913776,41.24,309.25,4.515105052806002,0.11333584712073154,-1.0,-1.0,0.11333584712073154,0.010200856865743617,1.0226071231457468
2020-09-25,5.1507975963308965,40.91,315.25,4.516070595362915,0.11343125266826043,-1.0,-1.0,0.11343125266826043,-0.014283064132905183,1.0083240590128415
2020-09-28,5.060300848726364,41.59,321.75,4.5145279033119845,0.11353441849657696,-1.0,-1.0,0.11353441849657696,0.0272081725706856,1.0355322315835271
2020-09-29,4.764049568589904,40.33,313.0,4.514141050251687,0.11362923460514407,-1.0,-1.0,0.11362923460514407,0.003829641065745715,1.0393618726492728
2020-09-30,3.7396139306148655,40.3,321.5,4.510193163150453,0.11371815262639232,-1.0,-1.0,0.11371815262639232,0.010022102821672022,1.0493839754709449
2020-10-01,4.328403253020909,39.75,311.25,4.509527197615199,0.11380432689792479,-1.0,-1.0,0.11380432689792479,0.041282884295405005,1.0906668597663498
2020-10-02,3.4044787311444864,38.0,303.75,4.503963024497591,0.11389472022668483,-1.0,-1.0,0.11389472022668483,-0.0408427125927812,1.0498241471735685
2020-10-05,3.332257741248796,39.78,319.75,4.497806859940418,0.11398824787725162,-1.0,-1.0,0.11398824787725162,-0.03255424601668373,1.0172699011568849
2020-10-06,3.225989455822301,41.27,333.5,4.4936228831113585,0.11407499413546537,-1.0,-1.0,0.11407499413546537,0.015236858490167027,1.0325067596470519
2020-10-07,2.7156282503168825,40.62,332.0,4.485231402950277,0.11416979442675637,-1.0,-1.0,0.11416979442675637,-0.030362620421052477,1.0021441392259993
2020-10-08,2.870025544443024,42.0,342.5,4.482229663625553,0.11424810060016635,-1.0,-1.0,0.11424810060016635,0.007808810519595243,1.0099529497455946
2020-10-09,2.81306752039621,41.63,339.5,4.477215925583427,0.11433558904154284,-1.0,-1.0,0.11433558904154284,0.024618063592798507,1.0345710133383932
2020-10-12,2.5129887840346186,40.5,332.0,4.472702790675376,0.11441870848182344,-1.0,-1.0,0.11441870848182344,-0.020223788744587905,1.0143472245938052
2020-10-13,3.1558680819689826,41.34,333.5,4.4714454589687875,0.11449514818000306,-1.0,-1.0,0.11449514818000306,-0.008536795262562392,1.0058104293312429
2020-10-14,2.6492480830945055,41.81,341.75,4.46483485865239,0.1145888863698771,-1.0,-1.0,0.1145888863698771,0.003777643628910099,1.009588072960153
2020-10-15,2.765113657257089,41.61,338.75,4.461379435253345,0.11467125119628904,-1.0,-1.0,0.11467125119628904,0.00615031188306967,1.0157383848432227
2020-10-16,2.5849638677510995,41.34,337.75,4.458918894930055,0.1147447405840086,-1.0,-1.0,0.1147447405840086,-0.00320704357285247,1.0125313412703703
2020-10-19,3.9982271159791267,41.29,324.75,4.458137796770507,0.11483224906549921,-1.0,-1.0,0.11483224906549921,-0.00710824494279758,1.0054230963275728
2020-10-20,4.007398605547266,41.62,327.25,4.454537063890055,0.1149353747729648,-1.0,-1.0,0.1149353747729648,0.03368803415030115,1.039111130477874
2020-10-21,3.4693727635599885,40.09,318.5,4.456628232254537,0.11497842146448983,-1.0,-1.0,0.11497842146448983,-0.02850996357264728,1.0106011669052266
2020-10-22,4.262068857413354,41.28,321.75,4.459449893311927,0.11505184504300434,-1.0,-1.0,0.11505184504300434,0.014255116399852616,1.0248562833050792
2020-10-23,3.5263788321673815,40.71,323.0,4.46051832215476,0.11511957017904835,-1.0,-1.0,0.11511957017904835,0.03696650878638752,1.0618227920914667
2020-10-26,3.012421805125392,39.06,313.0,4.461650726510918,0.11516798145327352,-1.0,-1.0,0.11516798145327352,-0.014781375683637427,1.0470414164078292
2020-10-27,2.9906237847290313,39.72,318.75,4.461973726623857,0.11522941557732068,-1.0,-1.0,0.11522941557732068,0.04294162603658076,1.08998304244441
2020-10-28,2.3550565534005514,37.86,308.0,4.462204631264316,0.11527579041103717,-1.0,-1.0,0.11527579041103717,0.031249286781449084,1.121232329225859
2020-10-29,1.9936471479079856,36.56,299.75,4.462229799286442,0.11531727390189163,-1.0,-1.0,0.11531727390189163,0.006579562075835549,1.1278118913016946
2020-10-30,1.662133650161806,36.33,300.5,4.461524726927562,0.11536727570661627,-1.0,-1.0,0.11536727570661627,-0.037032535603505085,1.0907793556981895
2020-11-02,2.230662391455688,37.78,308.0,4.461284211807395,0.11541992730046856,-1.0,-1.0,0.11541992730046856,-0.007043946973648468,1.083735408724541
2020-11-03,1.5921029936254953,38.17,316.75,4.459990895558275,0.11547875929400002,-1.0,-1.0,0.11547875929400002,-0.035458408228106246,1.0482770004964348
2020-11-04,1.790004876100916,39.68,328.0,4.460012292081124,0.11551827781676549,-1.0,-1.0,0.11551827781676549,0.004059674159803474,1.0523366746562384
2020-11-05,1.9758770771050678,39.47,324.5,4.459968186068652,0.11554429252047745,-1.0,-1.0,0.11554429252047745,0.03236807063340689,1.0847047452896452
2020-11-06,1.502421756069353,38.08,316.5,4.459836409737734,0.11556896759535748,-1.0,-1.0,0.11556896759535748,-0.0679959341551598,1.0167088111344855
2020-11-09,2.173925767452637,40.93,335.25,4.460033497496602,0.11560350255793397,-1.0,-1.0,0.11560350255793397,-0.026388111521601844,0.9903206996128837
2020-11-10,1.5172540265061585,42.25,352.25,4.460015095461632,0.11563590056350274,-1.0,-1.0,0.11563590056350274,-0.0074764799270514385,0.9828442196858322
2020-11-11,2.300442948719919,42.5,347.5,4.460357653309427,0.11568217856483477,-1.0,-1.0,0.11568217856483477,0.007001304933253347,0.9898455246190856
2020-11-12,2.290665522770091,42.16,344.5,4.460653772178512,0.11573101444769203,-1.0,-1.0,0.11573101444769203,0.013653777114355115,1.0034993017334406
2020-11-13,2.233835254680237,41.51,339.25,4.460958506980937,0.11577351435613784,-1.0,-1.0,0.11577351435613784,-0.027202381086382985,0.9762969206470576
2020-11-16,2.836376292965042,42.71,344.25,4.461817183524373,0.11582751984614367,-1.0,-1.0,0.11582751984614367,0.00490560678006458,0.9812025274271222
2020-11-17,2.340853751633162,42.54,347.0,4.461081734777579,0.11584768371287273,-1.0,-1.0,0.11584768371287273,-0.0072788125516130234,0.9739237148755092
2020-11-18,2.20516455420929,42.91,351.25,4.461321005143586,0.11588565251470664,-1.0,-1.0,0.11588565251470664,-0.00312257479169311,0.9708011400838161
2020-11-19,1.9939265647163396,43.09,354.5,4.461470092852211,0.11592686441546873,-1.0,-1.0,0.11592686441546873,-0.015591038196674463,0.9552101018871416
