Date,Spread,LNICASH,RHODNWE,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-11-13,-4148.266556858514,11262.5,2490.0,805.5342451525261,6.189062874240367,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-14,-4242.594048166313,11230.0,2505.0,810.6566401667401,6.176684250764995,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-15,-4259.772027921224,11182.5,2505.0,815.5280200049991,6.16457965186476,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-11-16,-4125.182550396938,11287.0,2505.0,819.7747535195257,6.152567884389995,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-19,-4427.5799127246555,11108.0,2530.0,824.3859424977554,6.140545420049271,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-20,-4538.175287722543,11027.0,2540.0,830.6839776484314,6.128021766819899,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-21,-4642.079987940955,10951.5,2550.0,838.167870325453,6.115129407035669,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-22,-4720.899108855097,10902.25,2560.0,844.1033293198741,6.102792620646523,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-23,-4772.899386268033,10849.0,2565.0,850.4209260198844,6.090409117453424,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-26,-4785.816037874183,10803.5,2565.0,858.0265444912656,6.077706057650754,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-11-27,-4856.708917984939,10700.0,2565.0,865.9934580412497,6.0649937302085535,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-11-28,-4857.110466263084,10726.5,2575.0,874.8821551390635,6.051887559713819,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-11-29,-4598.08018918346,10984.0,2580.0,881.082845054391,6.039565964799791,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-11-30,-4475.608864592126,11135.5,2590.0,886.4658455309545,6.02745516007418,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-03,-4400.517417271649,11179.5,2590.0,891.485241673207,6.015450740259324,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-12-04,-4466.852458121923,11080.5,2590.0,897.3768499598159,6.0028387869196616,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-05,-4358.640190127053,11156.0,2590.0,902.4365148674476,5.990208567616623,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-12-06,-4700.141923488289,10780.5,2590.0,909.9256304171124,5.977081823740652,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-07,-4601.25131004057,10845.5,2590.0,916.5477117477963,5.963996644803309,0.0,0.0,-0.0,-0.0,-2.1410026029608047
2018-12-10,-4683.859650106802,10729.5,2590.0,922.9336223369704,5.9511041120103485,0.0,0.0,-0.0,0.0,-2.1410026029608047
2018-12-11,-4565.525444085859,10696.5,2570.0,928.3920937039705,5.938531301200723,0.0,0.0,-0.0,0.0,-2.1410026029608047
