Date,Spread,EIAEBRT,EIANYHO,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-08-27,-2.28895326515579,58.44,1.791,3.130870608922675,33.907846602543714,1.0,1.0,-33.907846602543714,-0.5340897263675937,1.6835147098370935
2019-08-28,-1.3117459797806745,60.42,1.821,3.1291176871667217,33.899915419978406,1.0,1.0,-33.899915419978406,-0.18334734741443687,1.5001673624226566
2019-08-29,-1.4645865369274347,60.59,1.831,3.12705123820072,33.89109040793416,1.0,1.0,-33.89109040793416,0.5627151779980211,2.0628825404206776
2019-08-30,0.02001604492529907,61.04,1.801,3.1201172053733037,33.8811682149221,1.0,1.0,-33.8811682149221,-0.04079292267365664,2.022089617747021
2019-09-02,-2.4490821332377237,58.55,1.801,3.117926178944798,33.86956253927691,-1.0,-1.0,33.86956253927691,-0.4971721084852837,1.524917509261737
2019-09-03,-2.1318639006184696,57.93,1.774,3.112368600372967,33.856744025151336,1.0,1.0,-33.856744025151336,-1.765601452194049,-0.240683942932312
2019-09-04,-2.5704253412084412,60.68,1.869,3.10571049446905,33.841854115146305,1.0,1.0,-33.841854115146305,0.051396317988662704,-0.18928762494364929
2019-09-05,-0.4956263340796099,62.7,1.868,3.098046621924414,33.83063508248373,1.0,1.0,-33.83063508248373,-0.23997494814076814,-0.4292625730844174
2019-09-06,-2.2943660674546393,61.28,1.88,3.091617563876044,33.816152163539705,1.0,1.0,-33.816152163539705,-0.5673454717427022,-0.9966080448271196
2019-09-09,-0.7110434611733254,63.99,1.914,3.083236039843155,33.80409794209683,1.0,1.0,-33.80409794209683,-0.0600193122950641,-1.0566273571221838
2019-09-10,-0.14544167129818675,64.67,1.918,3.0757574115727877,33.793243832793635,1.0,1.0,-33.793243832793635,0.326865870356289,-0.7297614867658948
2019-09-11,-1.0957550603159874,63.02,1.898,3.0689401311212126,33.78069286634141,1.0,1.0,-33.78069286634141,0.4446856329400028,-0.285075853825892
2019-09-12,-2.4114122568415723,60.76,1.871,3.0590602121941943,33.76344856057807,1.0,1.0,-33.76344856057807,0.15242987608874606,-0.13264597773714595
