Date,Spread,EIAEBRT,EIAUSGJ,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2020-12-02,1.0056295055825615,47.8,1.251,3.1788403304382493,37.40557193798357,-1.0,-1.0,37.40557193798357,1.303698947117902,70.68194933507125
2020-12-03,-0.09048458090678224,48.37,1.295,3.184181730214269,37.42122361459983,-1.0,-1.0,37.42122361459983,-0.39074907020763083,70.29120026486362
2020-12-04,1.1033361107914743,49.1,1.282,3.185672358380961,37.438895389398226,1.0,1.0,-37.438895389398226,-0.12638632760162882,70.164813937262
2020-12-07,0.4612933109059725,48.63,1.286,3.1889740655261356,37.45622604128618,-1.0,-1.0,37.45622604128618,0.25781700797000584,70.422630945232
2020-12-08,0.30594160686866445,48.84,1.295,3.19287217516383,37.47803736921339,-1.0,-1.0,37.47803736921339,-0.404553720944813,70.01807722428718
2020-12-09,0.7571785867828353,48.81,1.281,3.1930558784002967,37.51196050992753,-1.0,-1.0,37.51196050992753,0.70094237884667,70.71901960313386
2020-12-10,1.300296512761605,50.33,1.306,3.194137498544264,37.541886284256044,-1.0,-1.0,37.541886284256044,0.23632364972335618,70.95534325285722
2020-12-11,0.6432705697429952,50.01,1.314,3.1967070969606217,37.56980930765373,-1.0,-1.0,37.56980930765373,0.6810076024889132,71.63635085534614
2020-12-14,-0.037892917551388905,50.27,1.338,3.200652651322027,37.599322060950215,-1.0,-1.0,37.599322060950215,0.21486281048008865,71.85121366582622
2020-12-15,0.11625122697304846,50.77,1.346,3.203148385905215,37.63279997996059,1.0,1.0,-37.63279997996059,-0.11065415805993896,71.74055950776628
2020-12-16,-0.019566573519199437,50.83,1.35,3.2058496051477143,37.66634561001422,-1.0,-1.0,37.66634561001422,0.634443759360706,72.37500326712698
2020-12-17,-0.5563973295924924,51.2,1.373,3.2111227666492885,37.6958465619756,1.0,1.0,-37.6958465619756,-0.392881124812187,71.9821221423148
2020-12-18,-0.19558757595472542,52.17,1.388,3.2149289832994046,37.72736857057257,1.0,1.0,-37.72736857057257,1.0029796058056815,72.98510174812047
2020-12-21,-0.36748255169953836,50.61,1.35,3.2182992896947376,37.7610981864441,1.0,1.0,-37.7610981864441,0.7128267530149138,73.69792850113538
2020-12-22,-0.15844596996419114,49.88,1.324,3.222412357827733,37.793388194837,1.0,1.0,-37.793388194837,-1.0897930550417707,72.60813544609361
2020-12-23,-0.4852326406254903,51.05,1.363,3.228519676900116,37.81014867250586,1.0,1.0,-37.81014867250586,0.0798910950622971,72.6880265411559
2020-12-24,-0.5796582343338841,50.88,1.36,3.234791326210215,37.83798399583374,1.0,1.0,-37.83798399583374,0.0,72.6880265411559
2020-12-25,-0.6108622841518638,50.88,1.36,3.2415880501200856,37.86092815011166,1.0,1.0,-37.86092815011166,0.47326160187639826,73.16128814303231
2020-12-28,-0.0021385687927164554,50.88,1.343,3.2459887820594138,37.886923729555264,1.0,1.0,-37.886923729555264,-0.2907544534670454,72.87053368956526
2020-12-29,-0.8445065842990047,50.44,1.353,3.2537370869675355,37.90429163658463,1.0,1.0,-37.90429163658463,-0.050082334441374554,72.8204513551239
2020-12-30,-0.6550950627722969,50.74,1.355,3.259807325142692,37.92995945592052,1.0,1.0,-37.92995945592052,0.4293488421822125,73.2498001973061
2020-12-31,0.3551598923640924,51.22,1.34,3.262665348447139,37.95883590122082,1.0,1.0,-37.95883590122082,0.0,73.2498001973061
2021-01-01,0.31654473554954166,51.22,1.34,3.2654542430645668,37.98765318242571,-1.0,-1.0,37.98765318242571,-0.7771767774963668,72.47262341980974
2021-01-04,0.5064833436575356,50.37,1.312,3.267854841644151,38.00572915879761,-1.0,-1.0,38.00572915879761,1.7985478945836213,74.27117131439336
2021-01-05,0.8324066109338446,53.16,1.376,3.2698512276090153,38.02877426530971,-1.0,-1.0,38.02877426530971,-0.150225080162224,74.12094623423113
2021-01-06,1.6302248480785124,53.8,1.371,3.2699892320161195,38.052352408403706,-1.0,-1.0,38.052352408403706,0.25165536018466406,74.3726015944158
2021-01-07,1.1615584358674127,53.7,1.38,3.2704572094449267,38.07133446676275,-1.0,-1.0,38.07133446676275,1.1801628623602263,75.55276445677602
2021-01-08,1.2635779752928826,55.51,1.424,3.2714642989195446,38.094397489260615,-1.0,-1.0,38.094397489260615,-0.3089503062453847,75.24381415053064
2021-01-11,1.015537699328874,54.84,1.412,3.2730744196672,38.11930757837899,-1.0,-1.0,38.11930757837899,1.3560427683458454,76.59985691887648
2021-01-12,0.17680291184819907,55.98,1.463,3.2764655196432826,38.14299185793014,-1.0,-1.0,38.14299185793014,-0.01785454433373519,76.58200237454275
2021-01-13,-0.2619331727363914,55.52,1.462,3.2811241696613545,38.154537053855265,-1.0,-1.0,38.154537053855265,0.2827496736430846,76.86475204818584
2021-01-14,-0.4643782017718152,55.76,1.473,3.2868457531978037,38.16997841260815,1.0,1.0,-38.16997841260815,1.0193068715048943,77.88405891969073
2021-01-15,0.08345227998935911,54.8,1.433,3.2901061336240316,38.183215436155365,1.0,1.0,-38.183215436155365,-0.010766423357664201,77.87329249633306
2021-01-18,-0.5239025329505935,54.21,1.433,3.2958124298209786,38.19532626165429,-1.0,-1.0,38.19532626165429,0.24495827289782918,78.1182507692309
