Date,Spread,EIAEBRT,DIESELA,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2019-08-30,-0.8554403304377374,61.04,1.8957,2.926205471504543,32.65044064484768,1.0,1.0,-32.65044064484768,-0.04079292267365664,13.06198364709226
2019-09-02,-3.318493513721222,58.55,1.8957,2.9204372383119184,32.63622593961134,1.0,1.0,-32.63622593961134,0.4525190987879408,13.5145027458802
2019-09-03,-3.0313272832299276,57.93,1.8688,2.908725975422253,32.620573246591356,1.0,1.0,-32.620573246591356,-1.2651718445062812,12.24933090137392
2019-09-04,-2.7025258990907375,60.68,1.944,2.8931424587581516,32.60417998924421,1.0,1.0,-32.60417998924421,-0.3742628629176348,11.875068038456286
2019-09-05,-1.4459152557132313,62.7,1.9683000000000002,2.875442989866488,32.58950122222895,1.0,1.0,-32.58950122222895,-0.3057753391691865,11.5692926992871
2019-09-06,-3.387028449745415,61.28,1.9853999999999998,2.861511155873705,32.57128460247075,1.0,1.0,-32.57128460247075,-0.4676252964995443,11.101667402787555
2019-09-09,-1.6641472096689185,63.99,2.0166,2.8468864591445464,32.55685173543039,1.0,1.0,-32.55685173543039,-0.05395104807470322,11.047716354712852
2019-09-10,-1.0873307740407796,64.67,2.0206,2.8323640529252145,32.5434676700192,1.0,1.0,-32.5434676700192,0.41739655149496485,11.465112906207818
2019-09-11,-1.8127886104679973,63.02,1.9931,2.819081611054547,32.52861803746325,1.0,1.0,-32.52861803746325,0.32319190187311486,11.788304808080932
2019-09-12,-3.318010040643081,60.76,1.9711,2.8020626469856547,32.50875655250524,1.0,1.0,-32.50875655250524,0.14825244707941662,11.936557255160348
2019-09-13,-2.5176134801988823,61.25,1.9626,2.786906534692055,32.491395842351416,1.0,1.0,-32.491395842351416,-2.766868845691401,9.169688409468947
2019-09-16,-0.9789248231061833,68.42,2.1368,2.7750890873039475,32.477969310701134,1.0,1.0,-32.477969310701134,1.3508982093512927,10.52058661882024
2019-09-17,-0.8061550661908115,65.59,2.0452,2.7628305635414545,32.464382488847455,1.0,1.0,-32.464382488847455,0.18177273630087226,10.70235935512111
2019-09-18,-1.660192426209889,64.29,2.0325,2.748159901897621,32.44781915188678,1.0,1.0,-32.44781915188678,-0.5370289327746913,10.16533042234642
2019-09-19,-2.7477039621427366,64.25,2.0661,2.7291916144526214,32.42713516390433,1.0,1.0,-32.42713516390433,0.14395071042966112,10.309281132776082
2019-09-20,-1.4687583486462046,65.23,2.0579,2.716251667975754,32.411078453105695,1.0,1.0,-32.411078453105695,0.36767685779644177,10.676957990572523
