Date,GOLDBLN,GOLDHAR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-04-03,1618.74,1613.1,6.579089576900742,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-06,1649.1,1648.3,1.785759158186238,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-07,1651.11,1649.25,2.847018706544759,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-08,1648.74,1647.8,1.92509623799765,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-09,1681.76,1680.65,2.138650094396098,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-10,1681.76,1680.65,2.138650094396098,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-13,1702.32,1688.0,15.358395021170281,5.653383480943157,-1,0.0,0.0,-0.0,0.0,0.03497097047862991
2020-04-14,1731.06,1741.9,-9.730142182486134,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.0054155715033915,0.02955539897523841
2020-04-15,1717.36,1718.65,-0.2109679712614252,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-16,1724.73,1729.5,-3.6765826031660254,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-17,1693.9,1692.55,2.3944275948879294,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-20,1692.74,1686.2,7.576008508490986,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-21,1681.19,1682.05,0.17050627092476134,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-22,1710.39,1710.55,0.9082927216816188,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-23,1737.64,1736.25,2.4923668193816866,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-24,1718.82,1715.9,3.995385967700713,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-27,1713.53,1714.95,-0.3458735806577806,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.02955539897523841
2020-04-28,1702.28,1691.55,11.773101754510208,5.653383480943157,-1,0.0,0.0,-0.0,-0.0,0.02955539897523841
2020-04-29,1700.88,1703.35,-1.4112533290358442,5.653383480943157,0,-1.0,-1.0,0.9986741596225671,-0.0026623486660587244,0.026893050309179687
2020-04-30,1704.81,1702.75,3.1179511667373845,5.653383480943157,0,0.0,0.0,-0.0,0.0,0.026893050309179687
