Date,CRUDOIL,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-08-22,55.28,1.694,54.99827028671312,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.020992736855615434,0.032342637790523335
2019-08-23,54.1,1.671,53.81886850364903,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.008160338469757587,0.04050297626028092
2019-08-26,53.64,1.649,53.35944071115294,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.02363912286524787,0.01686385339503305
2019-08-27,54.93,1.675,54.64876446592104,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.014759951063048777,0.002103902331984273
2019-08-28,55.78,1.721,55.49756803204923,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.016869111214468192,-0.01476520888248392
2019-08-29,56.71,1.708,56.42790615466518,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.02740023435978419,0.012635025477300272
2019-08-30,55.1,1.643,54.81959676774492,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0,0.012635025477300272
2019-09-02,55.1,1.643,54.81959676774492,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.018804707450263643,0.03143973292756391
2019-09-03,53.94,1.501,53.663290107088336,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.04004765284053007,-0.00860791991296616
2019-09-04,56.26,1.672,55.97884249421703,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0006643170726875961,-0.009272236985653756
2019-09-05,56.3,1.675,56.01876446592104,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0033486289677429216,-0.012620865953396678
2019-09-06,56.52,1.711,56.237828126369195,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.023303473709247072,-0.03592433966264375
2019-09-09,57.85,1.726,57.56743798488925,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.007823945703295372,-0.02810039395934838
2019-09-10,57.4,1.729,57.11735995659326,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.028294353124532077,0.00019395916518369707
2019-09-11,55.75,1.699,55.46814023955314,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.01153239160281026,0.011726350767993957
2019-09-12,55.09,1.679,54.808660428193065,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.004464944712384228,0.016191295480378183
2019-09-13,54.85,1.686,54.56847836216909,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.1440950808288609,-0.12790378534848273
2019-09-16,62.9,1.859,62.613978730433786,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.055772300071749596,-0.07213148527673313
2019-09-17,59.34,1.8,59.05551328692155,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.020395665346808083,-0.05173581992992505
2019-09-18,58.11,1.777,57.826111503857454,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.00025593023055646294,-0.051479889699368585
2019-09-19,58.13,1.818,57.845045117145624,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.00027322092097886995,-0.05120666877838972
2019-09-20,58.09,1.789,57.805799390673506,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.007862908351453295,-0.05906957712984301
2019-09-23,58.54,1.781,58.25600746612947,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.022920874913763864,-0.036148702216079145
2019-09-24,57.17,1.748,56.88686577738534,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.014365670984500051,-0.021783031231579094
2019-09-25,56.33,1.726,56.04743798488925,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0008626421332707356,-0.02264567336484983
2019-09-26,56.41,1.763,56.12647563590539,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.008730900199324352,-0.013914773165525477
2019-09-27,55.91,1.754,55.62670972079336,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.03221308797189268,0.0182983148063672
2019-09-30,54.07,1.707,53.78793216409717,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.007895910932522544,0.026194225738889746
2019-10-01,53.62,1.679,53.33866042819306,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.018447163683777645,0.04464138942266739
2019-10-02,52.64,1.69,52.3583743244411,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0030245950274030487,0.04766598445007044
2019-10-03,52.45,1.652,52.169362682856956,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.0065330513221173924,0.04113293312795305
2019-10-04,52.81,1.673,52.52881648478504,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0011516950389169856,0.042284628166870036
2019-10-07,52.75,1.674,52.46879047535304,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.00225934422148847,0.044543972388358506
2019-10-08,52.63,1.673,52.34881648478504,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,0.0012264202662422958,0.045770392654600804
2019-10-09,52.59,1.703,52.30803620182516,23.250633590421597,-1,-1.0,-1.0,0.026009431995968075,-0.017780966857601728,0.027989425796999076
