Date,WHEATSF,EIAGCGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-05-14,4.85,2.121,3.831999091493045,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.011796574068901253,-0.06972131103715921
2018-05-15,4.9,2.111,3.8851536457117417,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.007023403518650323,-0.06269790751850889
2018-05-16,4.9,2.158,3.8703272408838707,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0071457056770370935,-0.06984361319554598
2018-05-17,4.93,2.151,3.9025354288369574,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.04479617748877168,-0.11463979068431766
2018-05-18,5.14,2.136,4.117267260165001,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.00574012814899479,-0.12037991883331245
2018-05-21,5.19,2.163,4.158749963774523,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.02726663506841782,-0.14764655390173026
2018-05-22,5.33,2.161,4.299380874618262,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.018323796293695512,-0.16597035019542578
2018-05-23,5.43,2.164,4.398434508352652,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0012196380888497447,-0.16718998828427553
2018-05-24,5.42,2.143,4.395059072211914,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.033406213720645866,-0.2005962020049214
2018-05-25,5.55,2.079,4.545248219211568,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.0,-0.2005962020049214
2018-05-28,5.55,2.079,4.545248219211568,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.000644954266694032,-0.20124115627161543
2018-05-29,5.53,2.051,4.534080971023917,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.03885576107632354,-0.16238539519529188
2018-05-30,5.35,2.092,4.341147298727263,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.011548000901437113,-0.173933396096729
2018-05-31,5.39,2.065,4.389664595117742,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.0029688931340063496,-0.17096450296272264
2018-06-01,5.36,2.048,4.365027337289526,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.031425656004302235,-0.1395388469584204
2018-06-04,5.18,2.034,4.1894437131957,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.012444150554010559,-0.15198299751243094
2018-06-05,5.23,2.016,4.245121910789353,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.016670315201517526,-0.16865331271394846
2018-06-06,5.3,1.995,4.321746474648614,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.010192526049730522,-0.178845838763679
2018-06-07,5.38,2.026,4.391967356570657,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.011298413205811339,-0.16754742555786764
2018-06-08,5.31,2.015,4.325437366211222,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.008476874501430795,-0.15907055105643686
2018-06-11,5.26,2.009,4.27733009874244,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.04069217265873721,-0.19976272371517406
2018-06-12,5.46,1.992,4.482692840914223,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.0402516461226561,-0.15951107759251795
2018-06-13,5.28,2.038,4.288181891508222,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.023301127748297713,-0.13620994984422025
2018-06-14,5.13,2.005,4.148591920429918,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.017429391727351137,-0.1536393415715714
2018-06-15,5.15,1.919,4.195721086710704,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.022766934497199742,-0.13087240707437164
2018-06-18,5.07,1.963,4.101841048148441,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.018598961163964204,-0.11227344591040744
2018-06-19,4.97,1.956,4.004049236101528,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.024068106117307413,-0.13634155202771486
2018-06-20,5.08,1.944,4.1178347011639636,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.015077698019423793,-0.15141925004713866
2018-06-21,5.15,1.936,4.190358344538921,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.016402908348642664,-0.135016341698496
2018-06-22,5.11,1.989,4.133639207179832,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.026499407238484388,-0.10851693446001161
2018-06-25,4.96,1.971,3.9893174047734847,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.017794016723016403,-0.0907229177369952
2018-06-26,4.89,1.994,3.9120619300704833,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.01380540039919597,-0.10452831813619118
2018-06-27,4.99,2.036,3.998812802351961,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.0038530772197509907,-0.10838139535594217
2018-06-28,5.01,2.037,4.018497346930091,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.020011695989990114,-0.1283930913459323
2018-06-29,5.17,2.114,4.154207279446132,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,0.02183957961944136,-0.10655351172649094
2018-07-02,5.0,2.04,4.007550980664482,1.323212670681696,-1,-1.0,-1.0,0.3154554218695956,-0.014762919914236899,-0.12131643164072783
