Date,CRUDOIL,EIAGCGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-05-11,65.28,2.06,65.02522871000542,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.011956800160278627,-0.07580559799843366
2021-05-12,66.08,2.084,65.82461462029637,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.03330468435873416,-0.042500913639699496
2021-05-13,63.82,2.011,63.566482476494706,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.023803562219015938,-0.06630447585871543
2021-05-14,65.37,2.049,65.11551016778874,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.013318230159172058,-0.07962270601788748
2021-05-17,66.27,2.085,66.01458903322516,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.01162276796935221,-0.06799993804853527
2021-05-18,65.49,2.073,65.23489607807969,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.03183284060307955,-0.036167097445455716
2021-05-19,63.36,2.017,63.10632895406744,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.021447502422416873,-0.014719595023038844
2021-05-20,61.94,1.941,61.68827357147941,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.001515521393340873,-0.016235116416379716
2021-05-21,62.06,1.973,61.80745478520069,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.06610011107862246,-0.08233522749500218
2021-05-24,66.2,2.02,65.94625219285382,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0011587367481741791,-0.08349396424317636
2021-05-25,66.27,2.012,66.0164568894235,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.0017056183594755614,-0.08519958260265192
2021-05-26,66.41,2.044,66.15563810314478,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.006587953796795843,-0.09178753639944777
2021-05-27,66.85,2.047,66.59556134193114,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.007778199970661634,-0.08400933642878614
2021-05-28,66.32,2.035,66.06586838678567,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0,-0.08400933642878614
2021-05-31,66.32,2.035,66.06586838678567,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.020669698330388217,-0.10467903475917435
2021-06-01,67.72,2.07,67.46497283929332,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.016106721063472905,-0.12078575582264725
2021-06-02,68.83,2.093,68.57438433665548,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0003883715308134172,-0.12039738429183383
2021-06-03,68.81,2.101,68.5541796400858,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.011735009272614427,-0.13213239356444825
2021-06-04,69.62,2.104,69.36410287887219,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.005492388152477412,-0.12664000541197085
2021-06-07,69.23,2.095,68.97433316251308,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.011527027673058951,-0.1381670330850298
2021-06-08,70.05,2.121,69.7936678986616,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0012365418426922815,-0.13693049124233753
2021-06-09,69.96,2.117,69.70377024694643,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.004571943411470738,-0.14150243465380827
2021-06-10,70.29,2.129,70.03346320209194,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.009097022463757768,-0.15059945711756603
2021-06-11,70.91,2.106,70.65405170472975,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,0.0003623234667707832,-0.15023713365079525
2021-06-14,70.88,2.101,70.6241796400858,23.251140640966224,-1,-1.0,-1.0,0.025587071210067574,-0.01762832038275526,-0.16786545403355052
