Date,LCPCASH,JETCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-10-02,6288.0,785.5,6302.515786631516,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.00575931670971922,0.15063918172105145
2018-10-03,6262.5,795.75,6275.6773156842755,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0048092012144469,0.14582998050660456
2018-10-04,6288.25,791.5,6301.982291442888,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.017879654944451297,0.16370963545105585
2018-10-05,6167.0,783.0,6181.842242960111,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0007169889343681868,0.16299264651668766
2018-10-08,6174.25,785.75,6188.733140998656,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.019160923960375227,0.14383172255631244
2018-10-09,6300.25,793.25,6313.753772012871,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.005718281817048733,0.14955000437336116
2018-10-10,6251.0,780.5,6266.168699288706,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0037530613704854637,0.1457969430028757
2018-10-11,6258.25,765.0,6275.442728525996,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.009280446214984675,0.13651649678789105
2018-10-12,6319.0,767.5,6335.8662721974015,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0019365558384645948,0.13845305262635563
2018-10-15,6303.0,764.0,6320.323311057435,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.016710859909336358,0.15516391253569198
2018-10-16,6202.25,768.25,6219.018335298822,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0034492489577870105,0.15171466357790497
2018-10-17,6216.0,761.0,6233.715058651748,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.009925976930006677,0.16164064050791166
2018-10-18,6157.5,764.0,6174.823311057435,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.011748561089533975,0.14989207941837768
2018-10-19,6228.0,762.25,6245.551830487451,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.0019400566776707675,0.1479520227407069
2018-10-22,6242.75,764.75,6259.975374158856,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0040577993027200235,0.15200982204342692
2018-10-23,6194.5,743.25,6214.532898584774,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0003026300743671093,0.15231245211779404
2018-10-24,6188.0,739.0,6208.587874343386,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.008516307934152346,0.1437961441836417
2018-10-25,6253.0,750.25,6272.118820864707,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.009575632208273078,0.15337177639191477
2018-10-26,6207.0,763.0,6224.453893588872,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0029229404920370398,0.1562947168839518
2018-10-29,6178.5,753.25,6197.227073270394,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.0159021055028511,0.1721968223868029
2018-10-30,6076.5,749.75,6095.684112130427,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.005668354258575453,0.17786517664537835
2018-10-31,6036.5,744.5,6056.369670420477,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.013871375660319252,0.16399380098505908
2018-11-01,6102.5,727.75,6124.556927822064,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,-0.03780989537636427,0.1261839056086948
2018-11-02,6319.0,714.75,6342.754500730759,1461.7713708271958,-1,-1.0,-1.0,0.13058253143806164,0.018397214484032875,0.14458112009272767
