Date,CRUDOIL,ETHANYH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-08-20,56.13,1.42,55.28697032811585,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.007126313914127991,0.015558169106605284
2019-08-21,55.73,1.42,54.886970328115844,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.008074645612775821,0.023632814719381105
2019-08-22,55.28,1.42,54.43697032811585,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.021581724302535747,0.045214539021916855
2019-08-23,54.1,1.44,53.25663542287687,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.008502772643253276,0.05371731166517013
2019-08-26,53.64,1.44,52.79663542287687,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.024049217002237055,0.029668094662933076
2019-08-27,54.93,1.44,54.08663542287687,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.015474239941744017,0.014193854721189059
2019-08-28,55.78,1.44,54.93663542287687,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.016672642524202308,-0.0024787878030132493
2019-08-29,56.71,1.44,55.86663542287687,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.028971487370640283,0.026492699567627034
2019-08-30,55.1,1.49,54.255798159779424,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0,0.026492699567627034
2019-09-02,55.1,1.49,54.255798159779424,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.021052631578947434,0.04754533114657447
2019-09-03,53.94,1.49,53.09579815977942,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.043010752688172005,0.004534578458402466
2019-09-04,56.26,1.49,55.41579815977942,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0007109847138286884,0.0038235937445737778
2019-09-05,56.3,1.49,55.45579815977942,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.0043571748889456394,-0.0005335811443718617
2019-09-06,56.52,1.45,55.676467970257384,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.02353149327671611,-0.02406507442108797
2019-09-09,57.85,1.45,57.00646797025738,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.007778738115816863,-0.016286336305271105
2019-09-10,57.4,1.45,56.55646797025738,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.028745644599303066,0.01245930829403196
2019-09-11,55.75,1.45,54.90646797025738,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.011838565022421421,0.024297873316453382
2019-09-12,55.09,1.45,54.246467970257385,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.004933930358952649,0.02923180367540603
2019-09-13,54.85,1.5,54.00563070715993,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.1467639015496809,-0.11753209787427485
2019-09-16,62.9,1.5,62.05563070715993,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.05659777424483303,-0.06093432362944182
2019-09-17,59.34,1.5,58.49563070715993,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.02072800808897879,-0.04020631554046303
2019-09-18,58.11,1.5,57.26563070715993,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.00034417484081927796,-0.040550490381282306
2019-09-19,58.13,1.5,57.28563070715993,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.0007997479301670123,-0.039750742451115297
2019-09-20,58.09,1.51,57.24546325454045,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,-0.007746600103287982,-0.04749734255440328
2019-09-23,58.54,1.51,57.69546325454044,23.25984900628863,-1,-1.0,-1.0,0.016745261948924575,0.023402801503245585,-0.024094541051157693
