Date,EIAEBRT,EIALALS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-04-07,22.1,1.039,21.773209654378782,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-08,25.22,1.004,24.894080406541182,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-09,20.23,0.958,19.905224823668913,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-10,20.23,0.958,19.905224823668913,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-13,20.23,0.964,19.905075551869647,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-14,21.74,0.809,21.418931740017435,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-15,19.8,0.773,19.47982737081305,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-04-16,18.69,0.78,18.36965322038057,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-17,19.75,0.794,19.42930491951561,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-20,17.36,0.728,17.04094690930757,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-21,9.12,0.642,8.803086471763764,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-22,13.77,0.655,13.452763049532015,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-23,15.06,0.609,14.743907466659747,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-24,15.87,0.566,15.554977247887843,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-04-27,15.17,0.58,14.854628947022881,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-28,15.6,0.613,15.2838079521269,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-29,17.86,0.683,17.54206644780209,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-04-30,18.11,0.742,17.790598608442608,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-01,18.49,0.675,18.172265476867782,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-04,20.4,0.748,20.080449336643337,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-05,25.46,0.809,25.138931740017437,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-06,24.2,0.739,23.880673244342244,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-07,24.23,0.763,23.910076157145166,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-08,24.23,0.839,23.908185381021088,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-11,25.53,0.855,25.207787322889704,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-12,26.67,0.804,26.349056133183495,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-13,27.89,0.817,27.568732710951743,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-14,29.87,0.883,29.547090721159783,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-15,30.95,0.915,30.62629460489701,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-18,33.3,1.012,32.973881377475486,27.792329938902125,0,0.0,0.0,-0.0,-0.0,0.23981026605333436
2020-05-19,33.06,1.021,32.73365746977659,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-20,34.76,1.049,34.43296086804666,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-21,34.78,1.048,34.45298574667988,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-22,33.8,1.034,33.47333404754483,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-25,33.8,1.034,33.47333404754483,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-26,33.95,1.07,33.622438416749226,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-27,32.73,1.043,32.40311013984593,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-28,33.98,1.02,33.653682348409795,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
2020-05-29,34.15,1.078,33.822239387683524,27.792329938902125,0,0.0,0.0,-0.0,0.0,0.23981026605333436
