Date,EIAEBRT,EIANYLS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-06-22,73.67,2.127,73.32663357001358,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.01130348059675778,-0.10410447557792271
2018-06-25,72.82,2.107,72.47713226401517,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.010129003514171111,-0.11423347909209382
2018-06-26,73.58,2.133,73.23648396181311,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.03368000179183402,-0.14791348088392783
2018-06-27,76.09,2.17,75.74556137791016,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.002153761830046188,-0.150067242713974
2018-06-28,76.26,2.177,75.91538683500961,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.015175584397827699,-0.16524282711180172
2018-06-29,77.44,2.203,77.09473853280754,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.008906000961713427,-0.1563368261500883
2018-07-02,76.71,2.157,76.3658855290112,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.011031251707109066,-0.14530557444297923
2018-07-03,75.87,2.164,75.52571098611065,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.014762093053907854,-0.16006766749688708
2018-07-04,76.99,2.164,76.64571098611064,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0010223298713268611,-0.16108999736821394
2018-07-05,77.09,2.188,76.74511255330874,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.02722245628771514,-0.1338675410804988
2018-07-06,74.98,2.175,74.63543670440977,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.02778964828979766,-0.16165718937029647
2018-07-09,77.08,2.194,76.73496294510825,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.009045455775886979,-0.17070264514618344
2018-07-10,77.8,2.22,77.45431464290618,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.03027796310736443,-0.140424682038819
2018-07-11,75.35,2.112,75.00700759051477,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.04307017364612842,-0.09735450839269058
2018-07-12,72.11,2.118,71.7668579823143,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.027617676669959082,-0.12497218506264966
2018-07-13,74.11,2.128,73.7666086353135,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.04072790564431242,-0.08424427941833725
2018-07-16,71.03,2.057,70.68837899901915,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0023737881024786635,-0.08187049131585858
2018-07-17,70.87,2.067,70.52812965201836,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.005252264034624272,-0.07661822728123431
2018-07-18,70.52,2.093,70.17748134981629,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.02010039145998088,-0.09671861874121519
2018-07-19,71.94,2.096,71.59740654571605,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0005760603670650929,-0.09729467910828028
2018-07-20,71.99,2.106,71.64715719871525,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.02011483678669776,-0.11740951589497804
2018-07-23,73.45,2.12,73.10680811291415,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0009362748476632861,-0.11834579074264133
2018-07-24,73.53,2.133,73.18648396181311,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0016584954565088638,-0.1200042861991502
2018-07-25,73.67,2.154,73.32596033311144,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.011193831028282015,-0.13119811722743221
2018-07-26,74.51,2.172,74.16551150851001,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.004601136680727388,-0.1357992539081596
2018-07-27,74.84,2.157,74.4958855290112,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0018771169098711726,-0.13767637081803077
2018-07-30,74.99,2.168,74.64561124731031,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.010700102565416352,-0.12697626825261443
2018-07-31,74.16,2.136,73.81640915771287,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.02488365136270292,-0.10209261688991152
2018-08-01,72.28,2.096,71.93740654571606,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.008900721353357509,-0.11099333824326903
2018-08-02,72.95,2.127,72.60663357001359,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.006477937849325917,-0.10451540039394311
2018-08-03,72.48,2.13,72.13655876591335,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0003085493971081075,-0.10482394979105121
2018-08-06,72.51,2.139,72.16633435361264,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.00302635529734407,-0.10179759449370714
2018-08-07,72.31,2.162,71.96576085551081,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.021538762042626565,-0.08025883245108056
2018-08-08,70.71,2.111,70.36703252521485,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0022745751951972495,-0.07798425725588332
2018-08-09,70.55,2.112,70.20700759051478,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.006024268915781006,-0.08400852617166432
2018-08-10,71.0,2.142,70.6562595495124,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0053521126760562865,-0.07865641349560804
2018-08-13,70.62,2.142,70.2762595495124,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.002310297775484403,-0.08096671127109244
2018-08-14,70.77,2.126,70.42665850471366,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.03331396221817648,-0.04765274905291596
2018-08-15,68.38,2.087,68.03763095801676,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.01205441866451874,-0.0597071677174347
2018-08-16,69.21,2.094,68.86745641511621,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.013377826099335242,-0.07308499381676994
2018-08-17,70.14,2.099,69.79733174161582,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.013675052683535412,-0.08676004650030536
2018-08-20,71.11,2.112,70.76700759051478,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.007464000424616845,-0.0942240469249222
2018-08-21,71.65,2.123,71.3067333088139,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.017743050292613277,-0.11196709721753548
2018-08-22,72.96,2.169,72.61558631261023,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.010461760527235709,-0.12242885774477119
2018-08-23,73.73,2.177,73.38538683500961,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.008970858740942021,-0.13139971648571322
2018-08-24,74.41,2.199,74.06483827160785,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.00021544306571694193,-0.13118427341999628
2018-08-27,74.41,2.218,74.06436451230634,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.020203548735060632,-0.15138782215505692
2018-08-28,75.91,2.214,75.56446425110666,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.0017473660527647177,-0.15313518820782163
2018-08-29,76.07,2.246,75.72366634070411,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.012882871039831878,-0.1660180592476535
2018-08-30,77.05,2.246,76.70366634070412,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0013610334337442846,-0.16465702581390923
2018-08-31,76.94,2.24,76.59381594890459,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,-0.011307512347283666,-0.1759645381611929
2018-09-03,77.81,2.24,77.4638159489046,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.0039000718098387566,-0.17206446635135414
2018-09-04,77.51,2.244,77.16371621010428,27.792252299416056,-1,-1.0,-1.0,0.0249347000795553,0.010630513662533793,-0.16143395268882035
