Date,EIAEBRT,EIAGCLS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-12-17,57.59,1.696,57.305817335440615,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.03982739328599617,0.14205960430933673
2018-12-18,55.26,1.653,54.976887544738034,27.792316155780643,0,-1.0,-1.0,0.024888588312121197,-0.00561069431614372,0.136448909993193
2018-12-19,55.6,1.689,55.315991555558796,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-20,52.84,1.632,52.55741020509259,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-21,51.93,1.612,51.64790797685883,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-24,51.93,1.612,51.64790797685883,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-25,51.93,1.612,51.64790797685883,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-26,51.93,1.632,51.647410205092584,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-27,51.49,1.588,51.208505302978324,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-28,50.57,1.551,50.28942618074587,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2018-12-31,50.57,1.551,50.28942618074587,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2019-01-01,50.57,1.551,50.28942618074587,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2019-01-02,54.06,1.607,53.77803241980039,27.792316155780643,0,0.0,0.0,-0.0,-0.0,0.136448909993193
2019-01-03,53.23,1.643,52.94713643062115,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2019-01-04,55.64,1.691,55.355941778382174,27.792316155780643,0,0.0,0.0,-0.0,0.0,0.136448909993193
2019-01-07,57.1,1.696,56.81581733544061,27.792316155780643,-1,0.0,0.0,-0.0,-0.0,0.136448909993193
2019-01-08,56.91,1.732,56.624921346261374,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.04400287907076664,0.09244603092242637
2019-01-09,59.46,1.788,59.173527585315895,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,-0.016721733165983212,0.07572429775644315
2019-01-10,60.47,1.807,60.183054702137966,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.020120289909783876,0.09584458766622703
2019-01-11,59.24,1.791,58.95345291955096,27.792316155780643,-1,-1.0,-1.0,0.024888588312121197,0.007038312584708116,0.10288290025093515
