Date,EIAEBRT,EIANYHO,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-05-04,20.4,0.778,20.16730797664247,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-05,25.46,0.849,25.225542943916505,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-06,24.2,0.739,23.968277501660957,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-07,24.23,0.753,23.997929467038936,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-08,24.23,0.811,23.996487609319136,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-11,25.53,0.79,25.29700966125217,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-12,26.67,0.739,26.43827750166096,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-13,27.89,0.747,27.658078624734088,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-14,29.87,0.828,29.636064995849537,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-15,30.95,0.85,30.715518084300644,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-18,33.3,0.947,33.063106701562354,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-19,33.06,0.898,32.824324822739435,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-20,34.76,0.919,34.5238027708064,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-21,34.78,0.918,34.54382763042226,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-22,33.8,0.908,33.56407622658084,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-25,33.8,0.908,33.56407622658084,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-26,33.95,0.928,33.713579034263674,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-27,32.73,0.901,32.49425024389185,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
2020-05-28,33.98,0.86,33.74526948814206,27.792356237987498,0,0.0,0.0,-0.0,0.0,0.23674110061043083
