Date,LCPCASH,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-08-31,9528.25,589.0,9567.13638943294,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.02051917958174917,-0.302641458725249
2021-09-01,9332.25,588.75,9371.166563587845,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.0008162288423218043,-0.3034576875675708
2021-09-02,9364.26,601.5,9401.637681687724,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.006306802669738185,-0.309764490237309
2021-09-03,9420.5,600.0,9458.05872661715,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.003309028851631359,-0.3130735190889404
2021-09-06,9441.25,594.5,9479.472558025045,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.01041918303816824,-0.30265433605077213
2021-09-07,9330.9,588.25,9369.876911897652,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.012163232160126202,-0.2904911038906459
2021-09-08,9226.5,593.0,9264.903602954471,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.017100023931578483,-0.3075911278222244
2021-09-09,9369.25,585.0,9408.61917591141,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.03050093880922452,-0.3380920666314489
2021-09-10,9684.5,600.25,9722.028552462245,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.014691121244081399,-0.3234009453873675
2021-09-13,9550.5,604.5,9587.515591828873,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.013309285397385424,-0.3100916599899821
2021-09-14,9426.25,606.0,9463.084546899447,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01674185335593157,-0.3268335133459137
2021-09-15,9608.0,618.75,9643.295664999325,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.02788653631162144,-0.2989469770342923
2021-09-16,9348.5,623.25,9383.252530211048,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004315644173928863,-0.2946313328603634
2021-09-17,9307.25,622.75,9342.062878520856,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.02559913439192303,-0.2690321984684404
2021-09-20,9049.15,611.75,9085.290541336646,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.008055873184626522,-0.26097632528381387
2021-09-21,8982.5,615.25,9018.218103167987,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.032794881482611137,-0.293771206766425
2021-09-22,9301.75,629.25,9335.778350493343,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004257493597572527,-0.28951371316885244
2021-09-23,9284.45,641.75,9316.969642748129,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.005117522595375105,-0.29463123576422756
2021-09-24,9343.75,648.5,9375.45494056571,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.0014949319177139085,-0.29612616768194144
2021-09-27,9372.5,657.0,9403.179019298963,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.008190409850933417,-0.287935757831008
2021-09-28,9281.1,648.5,9312.804940565711,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.01335421735557998,-0.27458154047542804
2021-09-29,9174.0,658.25,9204.528148524441,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.025933149793422153,-0.2486483906820059
2021-09-30,8944.5,663.25,8974.424665426355,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01979668945356056,-0.26844508013556645
2021-10-01,9135.0,671.5,9163.928918314512,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.010399286512942271,-0.2788443666485087
2021-10-04,9257.5,688.25,9284.407249935923,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.01215915851236814,-0.26668520813614055
2021-10-05,9177.0,708.0,9201.523491698481,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.010785402115087888,-0.25589980602105267
2021-10-06,9052.6,691.75,9079.084811767263,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.024424476183733553,-0.2803242822047862
2021-10-07,9289.5,701.75,9314.777845571089,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.010447461972052447,-0.29077174417683865
2021-10-08,9387.75,702.5,9412.937323106376,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.021268271006048767,-0.31204001518288743
2021-10-11,9604.75,713.25,9628.63983444549,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.008273792006027311,-0.30376622317686014
2021-10-12,9520.0,710.0,9544.282098459247,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.02422258921127323,-0.3279888123881334
2021-10-13,9759.5,715.5,9783.118267051352,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.03612555694998844,-0.3641143693381218
2021-10-14,10131.0,727.0,10153.230255925753,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.038638038199799704,-0.4027524075379215
2021-10-15,10538.0,736.25,10559.113812194293,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.07435245103270474,-0.47710485857062623
2021-10-18,11299.5,723.5,11322.152694094413,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.07307105534076254,-0.4040338032298637
2021-10-19,10487.5,730.75,10509.277643602187,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0015869564073900662,-0.40244684682247367
2021-10-20,10481.25,736.75,10502.303463884484,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.03645988388933678,-0.3659869629331369
2021-10-21,10078.5,724.75,10101.001823319892,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.022060744568097496,-0.3439262183650394
2021-10-22,9857.0,725.25,9879.441475010082,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.020520151918456023,-0.3644463702834954
2021-10-25,10070.75,732.25,10092.346598672762,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.011320411114714941,-0.3531259591687805
2021-10-26,9955.5,731.5,9977.187121137475,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.025802729523748867,-0.32732322964503163
2021-10-27,9667.0,712.25,9691.010531065107,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.02149046173435367,-0.3488136913793853
2021-10-28,9855.5,700.5,9880.92871634561,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004079708078877005,-0.34473398330050825
2021-10-29,9808.5,696.5,9834.41150282408,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01759718427636334,-0.3623311675768716
2021-11-01,9993.0,703.5,10018.06662648676,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.0211504074772835,-0.3411807600995881
2021-11-02,9770.5,697.0,9796.351154514272,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.009023249069822836,-0.33215751102976526
2021-11-03,9648.5,677.0,9676.765086906618,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.004699129497382077,-0.33685664052714737
2021-11-04,9699.0,680.0,9726.902997047766,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.0029051588543053237,-0.3397617993814527
2021-11-05,9753.0,695.0,9779.092547753506,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,-0.01401780549694883,-0.3537796048784015
2021-11-08,9907.5,705.5,9932.325233247524,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.017069849065118835,-0.33670975581328266
2021-11-09,9765.5,721.5,9788.394087333647,1465.4380918031727,-1,-1.0,-1.0,0.12069661961730402,0.004471221823453971,-0.33223853398982867
