Date,EIAEBRT,OILBREN,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-03-19,67.13,67.52,-1.0015300001458485,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-20,68.35,68.34,-0.5940657222533048,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-21,68.3,68.15,-0.45579525005767607,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-22,66.29,66.53,-0.8605417502844119,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-25,67.37,67.24,-0.4840787779628073,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-26,67.51,67.85,-0.9485260834329807,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-03-27,67.35,68.06,-1.3166145000702727,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-28,66.08,67.18,-1.7146249446378903,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-03-29,67.93,68.55,-1.2221541388905592,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-01,69.08,68.93,-0.4486950832818337,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-02,69.68,69.53,-0.44323341653117154,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-03,69.21,69.16,-0.5466014443607463,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-04,69.8,69.74,-0.5313218331684482,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-05,69.93,69.88,-0.5400474442599545,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-08,71.12,70.97,-0.43012541632961643,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-09,71.02,70.81,-0.3715818607964678,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-10,71.63,71.53,-0.4750278606956897,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-11,71.3,71.4,-0.6762112218249996,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-12,71.57,71.72,-0.7232983328913178,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-15,70.9,71.15,-0.8284869163044277,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-04-16,70.74,71.34,-1.1767573885000644,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-17,71.14,71.89,-1.3217508606452952,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-04-18,70.71,71.9,-1.7616598328661297,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-19,70.71,71.9,-1.7616598328661297,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-22,70.71,71.9,-1.7616598328661297,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-23,74.39,72.08,1.739978667159079,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-04-24,73.59,74.59,-1.5471733602673936,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-25,74.94,75.15,-0.7520758046334635,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-26,71.03,71.98,-1.5209316106327009,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-29,71.22,72.02,-1.3705674995159853,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-04-30,72.19,72.9,-1.2725570549483791,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-01,72.01,71.81,-0.3724790828787121,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-02,70.56,70.21,-0.237043527547101,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-03,71.95,71.45,-0.07575608292910374,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-06,71.95,71.45,-0.07575608292910374,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-07,70.98,70.39,0.004594972478088266,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-08,71.09,70.71,-0.20249213858822657,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-05-09,70.61,70.91,-0.8806715830046841,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-10,71.63,70.88,0.1690553336577807,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-13,72.35,71.09,0.6809669170204984,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-14,72.53,71.38,0.5736067226166597,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-15,73.09,72.26,0.2616171671842693,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-16,74.7,73.35,0.7915391951146233,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-17,73.94,72.64,0.7350762227930119,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-05-20,73.21,72.66,-0.014741721648633188,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-21,72.94,72.16,0.2107068893924975,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-22,71.94,71.14,0.22142205591639197,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-23,68.37,67.72,0.0402905554377071,0.9396775737378742,0,0.0,0.0,-0.0,-0.0,0.1595669086195175
2019-05-24,67.98,67.81,-0.4388901945496997,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-27,67.98,67.81,-0.4388901945496997,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-28,70.19,69.79,-0.19086669427257164,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-29,70.64,68.85,1.1905766944847613,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-30,69.55,67.55,1.3887430831916845,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-05-31,66.78,64.93,1.2148938050471827,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-03,63.16,61.5,0.9936712767893283,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-04,63.56,61.9,0.997312387956427,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-05,62.14,60.45,1.0141133599756955,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-06,62.77,60.79,1.3072083044677356,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
2019-06-07,64.1,62.9,0.5464151658741656,0.9396775737378742,0,0.0,0.0,-0.0,0.0,0.1595669086195175
