Date,LNICASH,RHODNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-10-29,11686.0,2440.0,11563.528814208947,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0013570504105501458,0.07315090034800724
2018-10-30,11690.0,2415.0,11570.004829806958,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.022626176218990546,0.09577707656699778
2018-10-31,11425.5,2415.0,11305.504829806958,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0256443919303313,0.07013268463666648
2018-11-01,11718.5,2415.0,11598.504829806958,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.012117591841959374,0.05801509279470711
2018-11-02,11860.5,2415.0,11740.504829806958,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.015597993339235283,0.0736130861339424
2018-11-05,11675.5,2415.0,11555.504829806958,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0020555864845188676,0.07155749964942353
2018-11-06,11699.5,2415.0,11579.504829806958,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0031456853257479,0.06841181432367563
2018-11-07,11743.5,2430.0,11622.019220448152,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.002852641887001295,0.07126445621067692
2018-11-08,11710.0,2430.0,11588.519220448152,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.027544440372168563,0.09880889658284549
2018-11-09,11397.0,2450.0,11273.538407969743,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.007766782514214548,0.10657567909706003
2018-11-12,11320.0,2475.0,11194.062392371732,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.005679751505931854,0.11225543060299188
2018-11-13,11262.5,2490.0,11135.076783012924,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0034823128394977296,0.1157377434424896
2018-11-14,11230.0,2505.0,11101.091173654118,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.004229741763134509,0.11996748520562411
2018-11-15,11182.5,2505.0,11053.591173654118,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.009344958640733259,0.11062252656489086
2018-11-16,11287.0,2505.0,11158.091173654118,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.01684738215797526,0.12746990872286612
2018-11-19,11108.0,2530.0,10976.615158056107,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.007683506688377667,0.1351534154112438
2018-11-20,11027.0,2540.0,10894.624751816902,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.0072367542231596875,0.14239016963440349
2018-11-21,10951.5,2550.0,10818.134345577699,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.004885495457373901,0.1472756650917774
2018-11-22,10902.25,2560.0,10767.893939338494,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.005077751589790904,0.1523534166815683
2018-11-23,10849.0,2565.0,10714.148736218891,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.004193934924877851,0.15654735160644614
2018-11-26,10803.5,2565.0,10668.648736218891,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.00958022862961072,0.16612758023605687
2018-11-27,10700.0,2565.0,10565.148736218891,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.0020905122238804663,0.1640370680121764
2018-11-28,10726.5,2575.0,10590.658329979688,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.023813654640379673,0.14022341337179672
2018-11-29,10984.0,2580.0,10847.663126860085,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.013408911124729018,0.1268145022470677
2018-11-30,11135.5,2590.0,10998.17272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,-0.003951326837591473,0.12286317540947622
2018-12-03,11179.5,2590.0,11042.17272062088,4851.837635904683,-1,-1.0,-1.0,0.09904062392044537,0.00885549443177247,0.1317186698412487
