Date,CRUDOIL,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2019-03-05,56.56,530.0,-4983.63501394741,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.012022134543709487,1.8930015154166653
2019-03-06,56.22,529.0,-4974.417285468098,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.13671392096722482,1.7562875944494405
2019-03-07,56.66,537.0,-5050.439113302592,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.470143190760553,2.2264307852099936
2019-03-08,56.07,510.0,-4792.970444361175,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.2120466374322048,2.014384147777789
2019-03-11,56.79,522.0,-4906.943186112916,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0014086987145622842,2.015792846492351
2019-03-12,56.87,522.0,-4906.863186112916,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.14034671289585346,1.8754461335964976
2019-03-13,58.26,531.0,-4991.492742426722,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.1919868229261168,1.6834593106703808
2019-03-14,58.61,542.0,-5096.277755699151,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.8744277507502163,0.8090315599201645
2019-03-15,58.52,591.5,-5569.475315425082,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.7772670606993609,1.5862986206195253
2019-03-18,59.09,544.0,-5114.913212657774,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.05169266122986575,1.6379912818493911
2019-03-19,59.03,541.0,-5086.30002721984,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.13867238185552294,1.4993188999938682
2019-03-20,60.23,550.0,-5171.119583533646,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0889360760931342,1.5882549760870024
2019-03-21,59.83,544.5,-5118.952076897431,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.12471458110000883,1.7129695571870112
2019-03-22,58.89,536.5,-5043.430249062936,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.10002000240885968,1.6129495547781514
2019-03-25,58.77,542.0,-5096.117755699151,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.1211653667035614,1.49178418807459
2019-03-26,59.94,550.0,-5171.409583533646,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.1562458618610876,1.6480300499356775
2019-03-27,59.41,540.5,-5081.141162980183,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.17497969906545113,1.8230097490011286
2019-03-28,59.3,530.5,-4985.673878187065,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.09393345845861564,1.729076290542513
2019-03-29,60.14,536.5,-5042.180249062936,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.07387189596136347,1.6552043945811494
2019-04-01,61.59,542.0,-5093.297755699151,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.03682851816537196,1.6183758764157774
2019-04-02,62.58,545.0,-5120.980941137086,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.05069380388569708,1.6690696803014744
2019-04-03,62.46,542.0,-5092.427755699151,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.10275170838481837,1.566317971916656
2019-04-04,62.1,547.5,-5145.355262335365,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.03323803670807114,1.5995560086247271
2019-04-05,63.08,546.5,-5134.817533856054,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.08400808148614734,1.5155479271385799
2019-04-08,64.4,552.5,-5190.843904731924,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.03247032323716362,1.4830776039014162
2019-04-09,63.98,554.0,-5205.600497450892,2186.0991508776,1,1.0,1.0,-9.557728479311752,-0.23168421747006598,1.2513933864313502
2019-04-10,64.61,568.0,-5338.778696161256,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.08502011588191088,1.336413502313261
2019-04-11,63.58,562.0,-5282.462325285386,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.004875747090280047,1.341289249403541
2019-04-12,63.89,562.0,-5282.152325285386,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.060357105383332374,1.4016463547868734
2019-04-15,63.4,558.0,-5244.411411368139,2186.0991508776,1,1.0,1.0,-9.557728479311752,0.0016880930996755108,1.4033344478865488
