Date,LCPCASH,LTICASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-01-25,7965.5,22865.0,-50168.05253393401,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.03924616044839746,-0.3092157502596309
2021-01-26,8007.25,23295.0,-51143.509536620266,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.015612729574371327,-0.3248284798340022
2021-01-27,7821.25,23220.0,-51152.08971057033,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0012946357489540955,-0.3261231155829563
2021-01-28,7879.65,23306.0,-51297.131111107585,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.008671494056785991,-0.31745162152617035
2021-01-29,7862.4,23199.0,-51061.26215927635,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.10501966681288438,-0.42247128833905473
2021-02-01,7805.55,24158.0,-53386.720335034755,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.03341776196431366,-0.4558890503033684
2021-02-02,7787.0,24475.0,-54155.16479980579,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.02133127635560014,-0.4345577739477683
2021-02-03,7851.5,24340.0,-53771.309112915915,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.04771313160785915,-0.3868446423399091
2021-02-04,7825.5,23815.0,-52555.370330566424,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.0061164915500725656,-0.3807281507898366
2021-02-05,7927.0,23884.0,-52617.09657053236,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.0027121762307180212,-0.3834403270205546
2021-02-08,8050.75,24069.0,-52930.98214145551,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.023664098119571243,-0.40710442514012585
2021-02-09,8157.75,24445.0,-53713.446869385814,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.01790380608645175,-0.4250082312265776
2021-02-10,8303.0,24814.0,-54441.10241355146,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.03368797848187341,-0.45869620970845104
2021-02-11,8289.25,25150.0,-55249.69323425513,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.010741407150878606,-0.46943761685932966
2021-02-12,8352.25,25345.0,-55647.984781984946,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.39106662573435,-0.8605042425936797
2021-02-15,8422.5,29625.0,-65702.49285523413,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.199407333656218,-0.6610969089374618
2021-02-16,8424.0,27130.0,-59798.82664197322,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.05687281898419418,-0.7179697279216559
2021-02-17,8403.25,27754.0,-61295.70959470861,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.07068907856319753,-0.6472806493584584
2021-02-18,8573.25,27162.0,-59725.275767754516,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.09386571122478032,-0.7411463605832387
2021-02-19,8946.75,28740.0,-63084.68890784498,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.005166011639349252,-0.746312372222588
2021-02-22,9132.5,29055.0,-63644.10217725469,8827.73039066022,1,1.0,1.0,-2.3655976806656978,0.07475347275349596,-0.671558899469092
2021-02-23,9231.5,28270.0,-61688.107997932115,8827.73039066022,1,1.0,1.0,-2.3655976806656978,-0.044311512508372425,-0.7158704119774644
