Date,EIAEBRT,GOEUARA,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-02-11,54.0,479.5,-3806.106870092646,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.35203395803041065,0.6527931932907518
2020-02-12,55.54,502.5,-3987.0417825978575,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.010456922757110004,0.6632501160478618
2020-02-13,56.34,502.75,-3988.225205559871,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.09218227300557062,0.5710678430422912
2020-02-14,57.37,509.75,-4042.73104849624,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.1052924272064239,0.676360270248715
2020-02-17,57.83,503.5,-3992.6854744459106,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.0980601275119468,0.7744203977606618
2020-02-18,57.35,496.75,-3939.6130544715543,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.17029315710574297,0.6041272406549189
2020-02-19,59.72,510.0,-4042.3644714582533,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.08944848652216233,0.6935757271770812
2020-02-20,59.72,504.25,-3996.7457433319496,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.012713109179191197,0.7062888363562724
2020-02-21,58.6,502.25,-3981.9983596358443,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.3038326007542686,1.010121437110541
2020-02-24,56.04,480.25,-3810.0171389786856,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.23084469329130775,1.2409661304018487
2020-02-25,56.71,467.0,-3704.2257219919875,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.33014970696700613,1.5711158373688547
2020-02-26,54.96,445.75,-3537.3847702208677,1740.1697864908615,1,1.0,1.0,-7.933691848052687,0.20767829956177342,1.7787941369306282
2020-02-27,52.19,431.25,-3425.1162384241034,1740.1697864908615,0,1.0,1.0,-7.933691848052687,-0.1042470590839764,1.6745470778466518
2020-02-28,51.31,436.0,-3463.681274702354,1740.1697864908615,0,0.0,0.0,-0.0,0.0,1.6745470778466518
2020-03-02,52.52,454.0,-3605.277727967302,1740.1697864908615,1,0.0,0.0,-0.0,0.0,1.6745470778466518
2020-03-03,52.24,445.25,-3536.1379242968414,1740.1697864908615,1,1.0,1.0,-7.933691848052687,-0.04291114066398286,1.631635937182669
