Date,WHEATSF,NATBGAS,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-03-23,5.93,0.24842461,5.755243554765895,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.004286420465175212,-0.5403006884343989
2020-03-24,5.92,0.25436258500000003,5.744597630949558,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.037020531386318625,-0.5773212198207176
2020-03-25,6.11,0.24284399999999998,5.935850604965448,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.017127861629692747,-0.5601933581910249
2020-03-26,6.0,0.240889675,5.826063193442557,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.009129155312011729,-0.5693225135030366
2020-03-27,6.02,0.22805484000000004,5.8474593471153575,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0017261905524122816,-0.5675963229506243
2020-03-30,5.94,0.20381325,5.770096310108109,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.009391479560539737,-0.5582048433900846
2020-03-31,5.88,0.202483835,5.7102409218335355,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.03739930466256233,-0.5208055387275222
2020-04-01,5.65,0.19928898,5.480588453262053,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.015382579811077473,-0.5054229589164447
2020-04-02,5.57,0.20153012,5.400344665488991,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.01401882275695126,-0.5194417816733959
2020-04-03,5.64,0.19884097999999997,5.470637186015174,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.007346964580944717,-0.5267887462543407
2020-04-06,5.71,0.20809839,5.539630179148928,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.01159491604157949,-0.5151938302127612
2020-04-07,5.65,0.21017793999999998,5.479403968888316,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0011047690148178208,-0.5140890611979434
2020-04-08,5.64,0.20889277500000003,5.469543767166587,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.013493827888733463,-0.5275828890866768
2020-04-09,5.72,0.21021891,5.5493995122345305,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0,-0.5275828890866768
2020-04-10,5.72,0.21021891,5.5493995122345305,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0020536009352146237,-0.5255292881514622
2020-04-13,5.71,0.21080901000000002,5.539335322061278,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.004370486796402593,-0.5211588013550595
2020-04-14,5.64,0.19552096,5.470998332700486,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.007476094544954896,-0.5136827068101046
2020-04-15,5.56,0.1834633,5.39230994646836,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.023173225613193946,-0.4905094811969107
2020-04-16,5.45,0.1891792,5.281688179630036,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.005682155038925772,-0.49619163623583645
2020-04-17,5.49,0.19206143999999997,5.321374653981915,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.03860469594082108,-0.5347963321766576
2020-04-20,5.64,0.17214120000000002,5.473541547147202,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.005589570294207164,-0.5403859024708647
2020-04-21,5.67,0.17171326,5.503588097804281,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.005669350031297576,-0.5347165524395672
2020-04-22,5.66,0.17787861,5.4929174404840575,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.011158452178074438,-0.5458750046176416
2020-04-23,5.7,0.17118834,5.533645197797068,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.02809739837828283,-0.5177776062393588
2020-04-24,5.49,0.1574265,5.325142189652476,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.013000674024955134,-0.5047769322144037
2020-04-27,5.44,0.16306083000000002,5.2745292958736885,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0032253490239454617,-0.5080022812383491
2020-04-28,5.49,0.17200371,5.323556503098602,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.01939032547181081,-0.4886119557665383
2020-04-29,5.39,0.17386226999999999,5.223354331791364,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.017872800174235447,-0.5064847559407738
2020-04-30,5.49,0.174949245,5.323236092317425,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0015704709929942303,-0.508055226933768
2020-05-01,5.47,0.1665644,5.304148182900796,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.014214432172876813,-0.4938407947608912
2020-05-04,5.41,0.17153401,5.243607596344453,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0032883067673037383,-0.49712910152819495
2020-05-05,5.42,0.16926345,5.253854584380007,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0053583823103595584,-0.4917707192178354
2020-05-06,5.39,0.16898854,5.223884488668312,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.007498046785822367,-0.49926876600365777
2020-05-07,5.44,0.17175129000000003,5.273583960959189,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0014830811271265595,-0.4977856848765312
2020-05-08,5.44,0.17409294000000003,5.273329239862431,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.003016795273521622,-0.4947688896030096
2020-05-11,5.39,0.16421123999999998,5.224404156037708,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0054131010125979,-0.5001819906156075
2020-05-12,5.37,0.1504382,5.205902366211944,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.023464835833603884,-0.47671715478200366
2020-05-13,5.23,0.14683426,5.066294397279548,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0006397297589580747,-0.47607742502304556
2020-05-14,5.25,0.152859735,5.085638955347366,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0036629401949326793,-0.4724144848281129
2020-05-15,5.23,0.15265374999999998,5.065661362079848,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0028677497784785812,-0.47528223460659147
2020-05-18,5.2,0.14057952499999998,5.0369747777630245,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,0.0009510799953459078,-0.4743311546112456
2020-05-19,5.18,0.136838085,5.0173817658698106,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.0325884188182429,-0.5069195734294885
2020-05-20,5.33,0.1322706,5.167878609885197,1.4445554178218134,-1,-1.0,-1.0,0.10877846678993025,-0.02128487305629637,-0.5282044464857848
