Date,WHEATSF,NAFCNWE,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-06-02,5.28,300.0,-35405.85172652318,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-03,5.32,312.0,-36821.10236073361,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-04,5.43,312.3,-36856.37462658887,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-05,5.35,335.5,-39592.68318606237,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-08,5.31,344.5,-40654.19116172019,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-09,5.24,329.3,-38861.559691720315,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-10,5.26,333.8,-39392.273679549224,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-11,5.19,330.8,-39038.52102099662,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-12,5.22,316.5,-37351.93634856252,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-15,5.24,316.5,-37351.916348562525,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-16,5.16,350.5,-41361.986478825405,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-17,5.08,348.0,-41067.2142633649,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-18,4.98,352.5,-41598.04825119381,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-19,4.96,366.8,-43284.62292362791,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-22,4.95,364.8,-43048.75115125951,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-23,4.96,373.3,-44051.23868382523,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-24,4.91,356.5,-42069.88179593062,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-25,4.96,325.5,-38413.66432422034,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-06-26,4.84,331.3,-39097.84146408872,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-29,4.95,348.0,-41067.3442633649,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-06-30,5.0,361.8,-42694.8784927069,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-01,5.08,380.0,-44841.32262125938,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-07-02,5.0,384.0,-45313.16616599619,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-03,5.0,386.0,-45549.047938364594,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-07-06,4.99,391.0,-46138.762369285614,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-07,5.02,381.0,-44959.32350744359,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-08,5.26,390.3,-46055.93374895667,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-09,5.35,379.0,-44723.11173507518,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-10,5.44,371.5,-43838.46508869366,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-07-13,5.35,376.5,-44428.25951961467,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-14,5.38,373.0,-44015.43641796997,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-15,5.63,383.0,-45194.59527981199,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-16,5.47,379.0,-44722.99173507518,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-17,5.49,379.0,-44722.97173507518,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-20,5.37,377.0,-44487.20996270677,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-21,5.42,394.5,-46551.12547093032,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-22,5.49,399.0,-47081.78945875923,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-23,5.44,398.5,-47022.86901566713,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-24,5.54,390.5,-46079.24192619351,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-27,5.52,382.0,-45076.76439362779,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-07-28,5.4,382.0,-45076.884393627784,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-29,5.49,375.0,-44251.20819033837,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-30,5.47,358.0,-42246.23312520693,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-07-31,5.48,363.5,-42894.89799922004,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-03,5.36,358.0,-42246.34312520693,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-08-04,5.23,364.0,-42954.11844231214,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-05,5.26,375.3,-44286.82045619363,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-06,5.16,374.0,-44133.597304154166,27251.2220882794,0,0.0,0.0,-0.0,-0.0,67.07581333393942
2020-08-07,5.1,377.5,-44546.450405798874,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
2020-08-10,5.16,373.0,-44015.65641796996,27251.2220882794,0,0.0,0.0,-0.0,0.0,67.07581333393942
