Date,EIAEBRT,EIAUSGJ,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-12-20,52.84,1.65,52.63104425779481,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-21,51.93,1.619,51.72183705017672,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-24,51.93,1.619,51.72183705017672,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-25,51.93,1.619,51.72183705017672,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-26,51.93,1.64,51.72129999727284,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-27,51.49,1.596,51.28242525097622,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-28,50.57,1.564,50.363243617305926,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2018-12-31,50.57,1.564,50.363243617305926,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2019-01-01,50.57,1.564,50.363243617305926,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2019-01-02,54.06,1.607,53.852143937550366,27.791354441072908,0,0.0,0.0,-0.0,-0.0,0.13729857022041866
2019-01-03,53.23,1.658,53.02083966621237,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2019-01-04,55.64,1.711,55.429484246978774,27.791354441072908,0,0.0,0.0,-0.0,0.0,0.13729857022041866
2019-01-07,57.1,1.714,56.88940752513537,27.791354441072908,-1,0.0,0.0,-0.0,-0.0,0.13729857022041866
2019-01-08,56.91,1.758,56.69828227143199,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0438620240347332,0.09343654618568546
2019-01-09,59.46,1.823,59.24661996482476,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.016719667796492848,0.07671687838919261
2019-01-10,60.47,1.842,60.256134059816475,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.02011852409492354,0.09683540248411615
2019-01-11,59.24,1.826,59.02654324298135,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.007007250473533283,0.10384265295764944
2019-01-14,58.8,1.796,58.587310461415456,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.002679174935019542,0.10652182789266898
2019-01-15,58.65,1.805,58.437080295885224,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.019551651846896386,0.08697017604577259
2019-01-16,59.81,1.821,59.59667111272036,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0008794430328306528,0.08609073301294194
2019-01-17,59.85,1.806,59.63705472193742,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.03616666228804136,0.049924070724900585
2019-01-18,62.04,1.836,61.82628750350331,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.002256608639587432,0.04766746208531315
2019-01-21,62.18,1.836,61.96628750350331,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.02047396391007353,0.06814142599538668
2019-01-22,60.9,1.828,60.68649209508574,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0025609850595260802,0.0655804409358606
2019-01-23,61.05,1.821,60.83667111272035,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0006832884616848456,0.06489715247417575
2019-01-24,61.09,1.819,60.87672226061598,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0063087076258971555,0.0585884448482786
2019-01-25,61.49,1.836,61.27628750350331,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.028404558936308794,0.0869930037845874
2019-01-28,59.71,1.797,59.49728488746766,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.020500969834429745,0.06649203395015765
2019-01-29,60.98,1.851,60.76590389428624,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.014826211538217213,0.05166582241194044
2019-01-30,61.89,1.858,61.67572487665163,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.009443880499316175,0.04222194191262427
2019-01-31,62.46,1.841,62.24615963376429,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.009939539975574677,0.05216148188819894
2019-02-01,61.86,1.865,61.64554585901699,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.006452501459135518,0.04570898042906342
2019-02-04,62.26,1.866,62.04552028506919,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.009339337096012333,0.05504831752507575
2019-02-05,61.67,1.856,61.455776024547234,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.008697971773977948,0.0463503457510978
2019-02-06,62.22,1.872,62.00536684138237,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.01916023587656155,0.06551058162765935
2019-02-07,61.01,1.851,60.79590389428624,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0057348765733058575,0.05977570505435349
2019-02-08,61.37,1.863,61.1555970069126,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,0.0007288036487540595,0.06050450870310755
2019-02-11,61.3,1.833,61.08636422534671,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.02071348998642396,0.039791018716683585
2019-02-12,62.58,1.845,62.366057337973075,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.010610050315158421,0.029180968401525162
2019-02-13,63.27,1.875,63.05529011953897,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.01106047328411308,0.01812049511741208
2019-02-14,64.0,1.91,63.78439503136582,27.791354441072908,-1,-1.0,-1.0,0.02557394780376915,-0.0243485733429303,-0.00622807822551822
