Date,WHEATSF,EIANYGR,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2020-05-21,5.36,0.973,4.7070712102464585,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.01016654204927857,-0.43123458094714656
2020-05-22,5.28,0.959,4.631701552892212,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0,-0.43123458094714656
2020-05-25,5.28,0.959,4.631701552892212,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.008616181859571777,-0.42261839908757476
2020-05-26,5.26,0.973,4.607071210246458,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.015233042971378074,-0.4378514420589528
2020-05-27,5.24,0.917,4.605592580829472,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.01980531899762475,-0.4576567610565776
2020-05-28,5.34,0.915,4.706254058350294,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0006923281061827873,-0.4569644329503948
2020-05-29,5.4,0.948,4.755339679256732,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.025656645060224904,-0.4313077878901699
2020-06-01,5.35,0.995,4.6897949575174165,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.02039692896263933,-0.41091085892753054
2020-06-02,5.28,1.017,4.612518704788376,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.01082785944803842,-0.421738718375569
2020-06-03,5.32,1.007,4.655826092392485,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.007867544106654353,-0.42960626248222333
2020-06-04,5.43,1.046,4.752927280736457,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.04160944171564383,-0.3879968207665795
2020-06-05,5.35,1.131,4.6448144861015255,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.004844762088997772,-0.38315205867758173
2020-06-08,5.31,1.122,4.607791134945224,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.013772226357218545,-0.3693798323203632
2020-06-09,5.24,1.124,4.537129657424402,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.003522542326927826,-0.37290237464729104
2020-06-10,5.26,1.125,4.556798918663992,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.014033086069765228,-0.38693546071705626
2020-06-11,5.19,1.032,4.517557623382212,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0019112522585156503,-0.38502420845854063
2020-06-12,5.22,1.056,4.539619893132348,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0090097653081015,-0.37601444315043914
2020-06-15,5.24,1.097,4.546059603955499,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.02853290525171906,-0.34748153789872005
2020-06-16,5.16,1.141,4.451507098497416,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.018402550468650136,-0.3290789874300699
2020-06-17,5.08,1.151,4.368199710893307,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.03319044487773743,-0.2958885425523325
2020-06-18,4.98,1.198,4.252654989153991,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.004016064257028162,-0.2918724782953043
2020-06-19,4.96,1.198,4.232654989153991,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.014715613989607185,-0.27715686430569714
2020-06-22,4.95,1.244,4.207441006175087,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0009043368580299422,-0.2762525274476672
2020-06-23,4.96,1.255,4.213802879810566,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.017590725231658833,-0.29384325267932604
2020-06-24,4.91,1.15,4.198530449653718,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.005006518791265264,-0.29884977147059133
2020-06-25,4.96,1.168,4.24257715196632,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0032392091144844287,-0.2956105623561069
2020-06-26,4.84,1.094,4.147051820236731,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.006401959142088128,-0.302012521498195
2020-06-29,4.95,1.148,4.23919192717454,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.006643810514832883,-0.3086563320130279
2020-06-30,5.0,1.16,4.2852230620496075,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,-0.01086784682120922,-0.3195241788342371
2020-07-01,5.08,1.178,4.35926976436221,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.023890157176808285,-0.2956340216574288
2020-07-02,5.0,1.207,4.269678340310293,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0,-0.2956340216574288
2020-07-03,5.0,1.207,4.269678340310293,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0014519655999818415,-0.29418205605744696
2020-07-06,4.99,1.205,4.260339817831115,1.309039290113107,-1,-1.0,-1.0,0.3307387604109628,0.0008497759604300867,-0.2933322800970169
