Date,PALLADM,LZZCASH,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2021-05-25,2739.0,2968.25,-2915.0061630849355,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.018210190578064406,1.1970035615370291
2021-05-26,2762.0,2949.25,-2862.878828793527,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.04273395123841557,1.1542696102986136
2021-05-27,2780.0,3044.0,-2990.1322458519976,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.013535981268783333,1.167805591567397
2021-05-28,2817.0,3043.55,-2952.44238793457,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0,1.167805591567397
2021-05-31,2817.0,3043.55,-2952.44238793457,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.002464532012032032,1.170270123579429
2021-06-01,2826.0,3045.0,-2945.665263446282,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0029143034311730175,1.173184427010602
2021-06-02,2857.0,3061.0,-2939.193544954837,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.032154556835268036,1.2053389838458701
2021-06-03,2809.0,2963.25,-2837.341075113513,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0026736421354011854,1.202665341710469
2021-06-04,2840.0,2989.75,-2846.9660413620554,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.004520719512932342,1.2071860612234013
2021-06-07,2835.0,2977.5,-2833.1865758320687,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.02244747588765187,1.1847385853357495
2021-06-08,2798.0,2995.75,-2898.1641469277633,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0036755141484502065,1.1884140994841996
2021-06-09,2809.0,2996.25,-2887.930655724906,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0033354359042446855,1.1850786635799548
2021-06-10,2766.0,2972.85,-2895.0580440186445,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.020460404138660907,1.164618259441294
2021-06-11,2787.0,3027.25,-2957.45420114773,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.012811509427761322,1.1518067500135327
2021-06-14,2752.0,3027.75,-2993.220709944872,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.006235188576372383,1.158041938589905
2021-06-15,2750.0,3014.0,-2974.141718023458,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.018326814065787823,1.1763687526556927
2021-06-16,2799.0,3013.0,-2923.6087004291735,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.01921237200857872,1.1955811246642714
2021-06-17,2689.0,2898.0,-2857.3116770864394,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.004028346268966282,1.191552778395305
2021-06-18,2551.0,2808.6,-2858.2599041573926,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.019081660433899153,1.1724711179614058
2021-06-21,2523.0,2823.45,-2909.0252154325194,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.007666228806283157,1.180137346767689
2021-06-22,2577.0,2848.75,-2893.8105605679207,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.010749693515930574,1.1693876532517584
2021-06-23,2590.0,2878.1,-2925.804626960175,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.004391263969122414,1.1737789172208808
2021-06-24,2634.0,2901.75,-2918.0604930650065,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.005778226968891156,1.1795571441897719
2021-06-25,2636.0,2892.25,-2901.4968259193024,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.009785427929496151,1.189342572119268
2021-06-28,2659.0,2890.25,-2875.4307907307334,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.026161657111931115,1.163180915007337
2021-06-29,2673.0,2949.5,-2952.262083192099,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.003754015450471897,1.1669349304578087
2021-06-30,2707.0,2966.75,-2944.706636693509,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.05304622459209217,1.219981155049901
2021-07-01,2788.0,2922.0,-2795.104099349271,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0011347802696835049,1.2188463747802174
2021-07-02,2779.0,2918.01,-2797.987359148076,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.006723547730460163,1.2255699225106775
2021-07-05,2813.0,2928.5,-2780.068713712121,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.02592761717561718,1.2514975396862946
2021-07-06,2869.0,2917.0,-2706.4390113778477,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.025029642892485354,1.2264678967938092
2021-07-07,2833.0,2940.75,-2778.8481792421085,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0036119862554338834,1.2228559105383754
2021-07-08,2784.0,2914.5,-2787.606467392136,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.01844872511137188,1.2044071854270035
2021-07-09,2800.0,2960.5,-2842.1252767292294,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.019208931624957053,1.2236161170519606
2021-07-12,2815.0,2933.75,-2786.117056082115,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.015621830450277409,1.239237947502238
2021-07-13,2840.0,2920.85,-2741.341129115843,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.005478545848282004,1.24471649335052
2021-07-14,2838.0,2909.07,-2725.2821818551706,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.048296406675788245,1.1964200866747317
2021-07-15,2770.0,2955.25,-2864.076934359235,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.04100135399954387,1.1554187326751877
2021-07-16,2706.0,2989.75,-2980.9660413620554,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.022597696962063325,1.1328210357131243
2021-07-19,2606.0,2961.75,-3038.0415487220857,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.004846013217954711,1.137667048931079
2021-07-20,2593.0,2942.75,-3021.9142144306775,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.04069514415597446,1.1783621930870534
2021-07-21,2653.0,2909.05,-2910.251521503285,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0006190801142209558,1.1789812732012743
2021-07-22,2671.0,2920.75,-2910.187827356415,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0073000170389759984,1.1862812902402504
2021-07-23,2728.0,2947.5,-2894.196048003529,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.03993500628799997,1.1463462839522505
2021-07-26,2690.0,2997.5,-3008.8469277177614,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0059981410117258445,1.1403481429405247
2021-07-27,2635.0,2969.25,-3020.53918067922,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.009844022283163284,1.1305041206573614
2021-07-28,2606.0,2967.0,-3046.08989109208,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.010032838848564695,1.140536959505926
2021-07-29,2665.0,2991.4,-3024.495520392625,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.02163946265389362,1.1188974968520324
2021-07-30,2658.0,3028.5,-3088.3704731405855,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.001819463238721013,1.1207169600907534
2021-08-02,2681.0,3042.0,-3086.0662106634286,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.04182789622801617,1.1625448563187695
2021-08-03,2681.0,2959.0,-2958.825750337803,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.009164488331454796,1.1533803679873147
2021-08-04,2664.0,2964.45,-2984.180696226654,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.036726479535517095,1.1166538884517976
2021-08-05,2642.0,3019.5,-3090.573314792024,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.029911355104698265,1.146565243556496
2021-08-06,2661.0,2974.75,-3002.970777447786,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.0017274245331016305,1.1482926680895975
2021-08-09,2620.0,2941.5,-2992.997942437821,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.026438579194786,1.1218540888948114
2021-08-10,2616.0,2989.3,-3070.276183444628,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.010490900012862684,1.1113631888819486
2021-08-11,2650.0,3035.1,-3106.4883892628636,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.022344281704173033,1.1337074705861216
2021-08-12,2637.0,2981.15,-3036.7820900512074,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.019907678084621207,1.1137997925015004
2021-08-13,2646.0,3026.5,-3097.3044379520165,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.0033954515102017947,1.1104043409912987
2021-08-16,2634.0,3024.25,-3105.8551483648757,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.016312247929562162,1.0940920930617366
2021-08-17,2567.0,3006.25,-3145.260831667752,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.012020243174419477,1.0820718498873172
2021-08-18,2508.0,2984.75,-3171.300953390632,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.044697452879450913,1.0373743970078664
2021-08-19,2355.0,2953.0,-3275.627644772095,522.8032950574551,1,1.0,1.0,-1.5330175942846436,-0.009738476784709939,1.0276359202231564
2021-08-20,2296.0,2923.5,-3289.4036257406983,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.020039166723456632,1.0476750869466132
2021-08-23,2339.0,2921.0,-3242.5710817549866,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.004125317560425237,1.0518004045070384
2021-08-24,2456.0,3008.45,-3259.6334703751777,522.8032950574551,1,1.0,1.0,-1.5330175942846436,0.006591776251316352,1.0583921807583547
